breakpoint_id,standard,version,year,antibiotic,method,medium,incubation,susceptible_definition,resistant_definition,unit,source_url,source_location,verified,notes
US2025_AMX,study-specified,publication,2025,amoxicillin,MIC,see article,see article,<=0.12,>0.12,mg/L,https://doi.org/10.1016/j.isci.2025.114077,Supplementary methods,yes,Not usable for public external validation because isolate-level phenotype mapping is absent
US2025_CLR,study-specified,publication,2025,clarithromycin,MIC,see article,see article,<=0.25,>0.5,mg/L,https://doi.org/10.1016/j.isci.2025.114077,Supplementary methods,yes,0.5 mg/L is intermediate
US2025_LEV,study-specified,publication,2025,levofloxacin,MIC,see article,see article,<=1,>1,mg/L,https://doi.org/10.1016/j.isci.2025.114077,Supplementary methods,yes,
US2025_MTZ,study-specified,publication,2025,metronidazole,MIC,see article,see article,<=8,>8,mg/L,https://doi.org/10.1016/j.isci.2025.114077,Supplementary methods,yes,
US2025_RIF,study-specified,publication,2025,rifampin,MIC,see article,see article,<=1,>1,mg/L,https://doi.org/10.1016/j.isci.2025.114077,Supplementary methods,yes,
US2025_TET,study-specified,publication,2025,tetracycline,MIC,see article,see article,<=1,>1,mg/L,https://doi.org/10.1016/j.isci.2025.114077,Supplementary methods,yes,
NX2022_CLR_PUBLIC,EUCAST,version not stated,2022,clarithromycin,Etest,Mueller-Hinton blood agar,"72 h; microaerophilic; 37 C","publication P-R calls classify observed MIC <=0.5 as S",>0.5,mg/L,https://doi.org/10.1128/aac.02188-21,Supplement Tables S1 and S9,partial,"Exact standard version not stated; preserve public P-R as primary and treat 0.5 mg/L as I in sensitivity analysis"
NX2022_LEV_PUBLIC,EUCAST,version not stated,2022,levofloxacin,Etest,Mueller-Hinton blood agar,"72 h; microaerophilic; 37 C",<=1,>1,mg/L,https://doi.org/10.1128/aac.02188-21,Supplement Tables S1 and S9,yes,60/60 MIC recomputations agree with published P-R
NX2022_FUR_PUBLIC,study literature rule,publication,2022,furazolidone,Etest,Mueller-Hinton blood agar,"72 h; microaerophilic; 37 C",<4,>=4,mg/L,https://doi.org/10.1128/aac.02188-21,Supplement Tables S1 and S9,yes,Five MIC=4 isolates confirm inclusive resistant threshold
Z52_CLR,study-defined,Supplementary Figure 1,2023,clarithromycin,Kirby-Bauer,Columbia blood agar,"3-4 days; microaerophilic; 37 C",>=18,<=13,mm zone diameter,https://doi.org/10.3389/fcimb.2023.1306368,Supplementary Figure 1,yes,Intermediate 14-17
Z52_LEV,study-defined,Supplementary Figure 1,2023,levofloxacin,Kirby-Bauer,Columbia blood agar,"3-4 days; microaerophilic; 37 C",>17,<13,mm zone diameter,https://doi.org/10.3389/fcimb.2023.1306368,Supplementary Figure 1,yes,"Figure assigns 13 to both R and I and 17 to both I and S; endpoints are internally overlapping"
Z52_AMX,study-defined,Supplementary Figure 1,2023,amoxicillin,Kirby-Bauer,Columbia blood agar,"3-4 days; microaerophilic; 37 C",>17,<14,mm zone diameter,https://doi.org/10.3389/fcimb.2023.1306368,Supplementary Figure 1,yes,Intermediate 14-17
Z52_FUR,study-defined,Supplementary Figure 1,2023,furazolidone,Kirby-Bauer,Columbia blood agar,"3-4 days; microaerophilic; 37 C",>=17,<=14,mm zone diameter,https://doi.org/10.3389/fcimb.2023.1306368,Supplementary Figure 1,yes,Intermediate 15-16
Z52_TET,study-defined,Supplementary Figure 1,2023,tetracycline,Kirby-Bauer,Columbia blood agar,"3-4 days; microaerophilic; 37 C",>=19,<=14,mm zone diameter,https://doi.org/10.3389/fcimb.2023.1306368,Supplementary Figure 1,yes,Intermediate 15-18
Z52_MTZ,study-defined,Supplementary Figure 1,2023,metronidazole,Kirby-Bauer,Columbia blood agar,"3-4 days; microaerophilic; 37 C",>21,<16,mm zone diameter,https://doi.org/10.3389/fcimb.2023.1306368,Supplementary Figure 1,yes,Intermediate 16-21
LINQU2025_ALL,EUCAST,13.0,2023,multiple,MTS,see article,see article,see EUCAST 13.0,see EUCAST 13.0,mg/L,https://doi.org/10.1128/jcm.00033-25,Methods,yes,No public isolate-level MIC/phenotype mapping
ISRAEL2020_ALL,BSAC,2014,2014,multiple,Etest/MTS,see article,see article,see BSAC 2014,see BSAC 2014,mg/L,https://doi.org/10.3390/microorganisms9010002,Methods,yes,No public isolate-level phenotype mapping and claimed repository is currently empty
SWISS2019_ALL,EUCAST,8.0,2018,multiple,Etest,see article,see article,see EUCAST 8.0,see EUCAST 8.0,mg/L,https://doi.org/10.3390/jcm8010053,Methods,yes,Rifampicin used CA-SFM/EUCAST 4 mg/L instead
