dataset_id,publication,pmid,doi,repository,accession,country,study_period,n_reported,n_genomes_available,n_isolates_with_phenotype,antibiotics,mic_available,binary_only,phenotype_method,breakpoint_standard,breakpoint_version,raw_reads_available,assembly_available,lineage_metadata_available,patient_id_available,published_model_source,primary_external_candidate,verified,limitations
HPGP_GLOBAL,"Genomic determinants of antibiotic resistance for Helicobacter pylori treatment",41453373,10.1016/j.lanmic.2025.101217,"NCBI BioProject; frozen GitLab source",PRJNA529500,global,multinational,1011,"1017 current assembly records; version duplicates possible",419,"clarithromycin; levofloxacin",no,yes,centralized phenotyping,publication-defined,under audit,yes,yes,yes,no,yes,no,yes,"414/419 public phenotype IDs have exact current assembly-name links; five Israel IDs unmatched"
CHINA_NINGXIA_2022,"A Survey of Helicobacter pylori Antibiotic-Resistant Genotypes and Strain Lineages by Whole-Genome Sequencing in China",35652644,10.1128/aac.02188-21,"NCBI BioProject; PMC supplement",PRJNA745492,China,Ningxia,60,60,60,"clarithromycin; levofloxacin; amoxicillin; furazolidone; tetracycline; metronidazole",yes,no,Etest BIO-KONT,"EUCAST stated; furazolidone study rule","EUCAST version not stated; furazolidone >=4 mg/L",no,yes,yes,no,no,yes,yes,"Exact 60/60 assembly-phenotype mapping; no SRA records linked to PRJNA745492 in the frozen NCBI query; six clarithromycin 0.5 mg/L values are S in publication and I under audited three-class interpretation"
ZENODO_10369064,"Deciphering complex antibiotic resistance patterns in Helicobacter pylori through whole genome sequencing and machine learning",38379956,10.3389/fcimb.2023.1306368,"Zenodo; PMC supplement",10.5281/zenodo.10369064,China,2023,52,52,52,"clarithromycin; levofloxacin; amoxicillin; furazolidone; tetracycline; metronidazole",no,yes,Kirby-Bauer disk diffusion,study-defined,Supplementary Figure 1,yes,no,study phylogeny only,yes,yes,yes,yes,"Exact 52/52 file-name and phenotype-ID mapping; zone thresholds have overlapping endpoints for levofloxacin and are not standard MIC breakpoints"
US_MAYO_2025,"Whole genome sequence analysis of Helicobacter pylori isolates reveals incomplete characterization of antimicrobial resistance mechanisms",41431684,10.1016/j.isci.2025.114077,NCBI BioProject,PRJNA1242368,USA,2017-2023,773,530,0,"amoxicillin; clarithromycin; levofloxacin; metronidazole; rifampin; tetracycline",no,no,agar dilution and gradient diffusion,study-specified,explicit MIC thresholds,yes,yes,yes,no,no,no,yes,"577 sequenced and 530 QC-pass reported; public supplement provides aggregate AST only, so assemblies cannot be linked to per-isolate phenotype"
LINQU_2025,"Population structure of Helicobacter pylori and antibiotic resistance-associated variants in a high-risk area of gastric cancer",40214252,10.1128/jcm.00033-25,"Zenodo; PMC supplement",10.5281/zenodo.14560813,China,Linqu,165,153,0,"clarithromycin; levofloxacin; amoxicillin; furazolidone; tetracycline; metronidazole",no,no,MTS,ECAST/EUCAST,13.0 (2023),no,yes,yes,no,yes,no,yes,"153 phenotype-tested strains and 153 assemblies reported but no public isolate-level phenotype-to-assembly table"
ISRAEL_2020,"Genomic Analysis of Antimicrobial Resistance Genotype-to-Phenotype Agreement in Helicobacter pylori",33374988,10.3390/microorganisms9010002,"ENA accession claimed in article",PRJEB37854,Israel,2015-2019,48,0,0,"amoxicillin; clarithromycin; levofloxacin; metronidazole; tetracycline",no,no,Etest/MTS,BSAC,2014,no,no,yes,no,yes,no,partial,"Supplement is aggregate only; ENA filereport and NCBI SRA query returned zero records on 2026-08-30"
SWISS_2019,"Genetic Determinants and Prediction of Antibiotic Resistance Phenotypes in Helicobacter pylori",30621024,10.3390/jcm8010053,"GenBank accessions in supplement",individual accessions,Switzerland,1999-2017,140,140,0,"amoxicillin; clarithromycin; levofloxacin; metronidazole; rifampicin; tetracycline",no,no,Etest,"EUCAST; CA-SFM/EUCAST for rifampicin","EUCAST 8.0 (2018); rifampicin 4 mg/L",no,yes,yes,no,yes,no,yes,"140 sequence accessions are public but isolate-level MIC/AST mapping is not public"
ML296_2025,"Assessment for antibiotic resistance in Helicobacter pylori: A practical and interpretable machine learning model based on genome-wide genetic variation",40119500,10.1080/21505594.2025.2481503,"supplementary compiled database",supplement genome IDs,multiple,compiled,296,296,296,"clarithromycin; levofloxacin; metronidazole; amoxicillin; tetracycline",partial,no,compiled categorical/MIC fields,mixed/not harmonized,not consistently stated,no,partial,no,no,yes,no,yes,"Secondary compiled dataset rather than an independent prospective cohort; source overlap and genome retrieval require audit"
EAST_CHINA_141_2025,"Genomic insights into antibiotic resistance virulence traits and phylogenetic lineages of 141 clinical Helicobacter pylori isolates from Eastern China",41561082,10.3389/fcimb.2025.1726881,NMDC,NMDC10020204,China,Eastern China,141,141,0,multiple,no,no,reported in article,reported in article,not recovered,no,yes,yes,no,no,no,yes,"Supplement includes QC and reference accessions but no isolate-level phenotype table"
CHINA_LANDSCAPE_2026,"Genomic landscape and fine-scale population structure of Helicobacter pylori across China",42143328,10.1186/s40364-026-00932-0,NCBI BioProject,PRJNA1217501,China,multiregional,50,50,0,not benchmark phenotype,no,no,not applicable,not applicable,not applicable,yes,yes,yes,no,no,no,yes,"Useful for population structure only; no public isolate-level AST table recovered"
