isolate_id,clarithromycin,levofloxacin,amoxicillin,tetracycline,metronidazole,furazolidone,multidrug_resistance
SHZY01,R,S,R,R,R,S,R
SHZY02,S,R,S,S,R,S,S
SHZY03,S,S,S,S,R,S,S
SHZY04,R,R,R,S,R,S,R
SHZY05,R,R,S,S,R,S,R
SHZY06,R,S,R,S,R,S,R
SHZY07,R,R,S,S,R,S,R
SHZY08,S,R,S,S,R,S,S
SHZY09,S,S,S,S,R,S,S
SHZY10,S,S,S,S,R,S,S
SHZY11,R,S,S,S,R,S,S
SHZY12,S,R,S,S,R,R,R
SHZY13,R,R,S,S,R,S,R
SHZY14,R,S,S,S,R,R,R
SHZY15,R,R,S,S,R,S,R
SHZY16,S,S,S,S,R,S,S
SHZY17,R,S,S,S,R,R,R
SHZY18,R,R,S,S,R,S,R
SHZY19,S,R,S,S,R,S,S
SHZY20,S,S,S,S,R,S,S
SHZY21,R,S,S,S,R,S,S
SHZY22,R,S,S,S,R,R,R
SHZY23,R,R,S,S,R,S,R
SHZY24,R,S,S,S,R,R,R
SHZY25,S,R,S,S,R,S,S
SHZY26,S,R,R,S,R,S,R
SHZY27,S,R,S,S,R,S,S
SHZY28,R,S,S,S,S,S,S
SHZY29,R,R,S,S,R,S,R
SHZY30,R,S,S,S,R,S,S
SHZY31,R,S,S,S,R,S,S
SHZY32,S,S,S,S,S,S,S
SHZY33,S,S,S,S,R,S,S
SHZY34,R,S,S,S,R,S,S
SHZY35,S,R,S,S,R,S,S
SHZY36,S,S,S,S,R,S,S
SHZY37,S,S,S,S,R,S,S
SHZY38,S,R,S,S,R,S,S
SHZY39,S,R,S,S,R,S,S
SHZY40,S,S,S,S,R,S,S
SHZY41,R,R,R,R,R,S,R
SHZY42,S,S,S,S,R,S,S
SHZY43,R,R,S,S,R,S,R
SHZY44,R,R,S,S,R,S,R
SHZY45,S,S,S,S,R,S,S
SHZY46,R,R,S,S,R,S,R
SHZY47,R,R,S,S,R,S,R
SHZY48,R,R,S,S,R,S,R
SHZY49,R,S,S,S,R,S,S
SHZY50,S,S,S,S,R,S,S
SHZY51,S,S,S,S,S,S,S
SHZY52,R,R,R,R,R,S,R
SHZY53,R,R,R,S,S,S,R
SHZY54,S,S,R,S,S,S,S
SHZY55,S,R,R,S,R,S,R
SHZY56,R,S,R,S,R,S,R
SHZY57,S,R,R,S,R,S,R
SHZY58,S,S,R,S,R,S,S
SHZY59,S,S,R,S,S,S,S
SHZY60,R,R,R,S,R,S,R
