isolate_id,clarithromycin,levofloxacin
ALG-001,1,0
ALG-002,0,0
ALG-003,0,0
ALG-004,1,0
ALG-005,1,0
ALG-007,0,0
ALG-008,0,0
ALG-009,0,0
ALG-010,1,0
ARG-001,0,0
ARG-002,1,0
ARG-003,0,0
ARG-004,0,1
ARG-005,0,0
ARG-006,0,0
ARG-007,0,0
ARG-008,1,1
ARG-009,1,0
ARG-010,0,0
BRA-002,0,1
BRA-006,0,1
BRA-009,0,0
BRA-010,0,0
BRA-013,0,1
BRA-014,1,0
BRA-017,1,0
BRA-018,0,0
BRA-020,0,0
BRA-022,0,0
BRA-023,0,1
BRA-025,0,0
CHI-001,0,0
CHI-002,0,0
CHI-004,0,0
CHI-005,0,0
CHI-007,0,0
CHI-008,0,0
CHI-010,0,0
CHI-011,0,1
CHI-014,0,0
CHI-017,0,1
CHI-018,0,0
CHI-021,0,1
CHI-022,0,0
CHI-023,0,1
CHI-024,0,1
CHI-101,0,0
CHI-102,0,0
CHI-103,1,0
CHI-104,0,0
CHI-106,0,0
CHI-107,0,0
CHI-113,1,0
CHI-114,1,0
CHI-119,0,0
CHI-122,0,1
CHI-123,0,0
CHI-124,0,1
CHI-125,0,0
CHI-126,0,1
CHI-127,0,0
CHN-001,0,0
CHN-002,0,0
CHN-004,0,0
CHN-005,0,0
CHN-009,0,0
CHN-010,0,1
COL-003,0,1
COL-005,0,0
COL-006,0,1
COL-008,0,0
CRI-001,0,0
CRI-002,0,0
CRI-004,0,1
CRI-005,0,0
CRI-006,0,0
FRA-001,0,0
FRA-002,1,1
FRA-003,1,0
FRA-004,0,0
FRA-005,0,0
FRA-006,0,0
FRA-007,0,0
FRA-008,1,0
FRA-009,1,0
FRA-010,1,0
FRA-011,0,0
FRA-012,0,0
FRA-013,0,0
FRA-014,0,0
FRA-015,0,0
FRA-016,0,0
FRA-017,0,0
FRA-018,0,0
FRA-019,0,0
FRA-020,0,0
FRA-021,0,1
GER-004,0,0
GER-005,0,0
GER-006,0,0
GER-010,1,1
GER-012,0,0
GER-013,0,0
GER-015,0,0
GER-018,0,1
GER-019,1,0
GER-021,0,1
GMB-004,0,0
GMB-007,0,0
GMB-008,0,0
GMB-009,0,0
GRE-001,0,0
GRE-003,0,1
GRE-004,0,0
GRE-008,0,0
GRE-012,1,0
GRE-019,0,0
GRE-020,1,0
GRE-041,0,1
GRE-044,0,1
GRE-046,0,1
GTM-004,0,0
GTM-010,0,1
HON-003,0,1
HON-004,0,1
HON-005,1,1
HON-006,0,1
HON-007,0,1
HON-009,0,0
HON-015,0,0
HON-017,0,0
HON-018,0,0
HON-019,0,0
HON-020,1,0
HON-021,0,0
HON-024,0,0
HON-025,0,0
HON-027,0,0
IND-005,0,1
IND-006,0,1
IND-007,0,1
IND-008,0,1
IND-009,0,0
ISL-002,0,0
ISL-004,0,0
ISL-005,0,0
ISL-007,0,0
ISL-009,0,0
ISR-002,1,0
ISR-003,1,1
ISR-004,0,0
ISR-006,1,0
ISR-007,1,0
ISR-008,1,0
ISR-009,1,0
ISR-010,1,0
ITA-002,1,0
ITA-003,1,1
ITA-004,1,0
ITA-006,0,1
ITA-007,0,1
ITA-008,0,0
ITA-009,1,1
ITA-011,1,1
ITA-012,0,1
ITA-013,1,0
ITA-015,0,1
ITA-016,1,1
ITA-022,0,1
ITA-026,0,1
ITA-027,1,1
ITA-028,0,1
ITA-030,0,1
JAP-002,0,0
JAP-009,1,1
JAP-010,0,0
JAP-012,0,0
JAP-013,1,0
JAP-015,1,1
JAP-019,1,1
JAP-022,1,1
JAP-028,1,1
JOR-004,0,0
JOR-005,0,1
JOR-006,0,0
JOR-007,0,0
JOR-009,1,0
KAZ-001,0,0
KGZ-001,0,0
KGZ-004,0,0
KGZ-009,0,1
KGZ-010,0,0
KOR-002,0,0
KOR-007,0,1
KOR-008,1,0
KOR-010,0,1
KOR-013,0,0
KOR-014,1,1
KOR-019,1,0
KOR-022,0,0
KOR-027,0,0
KOR-028,0,0
KOR-036,0,0
KOR-041,0,0
KOR-042,1,0
KOR-044,0,1
KOR-046,0,1
KOR-047,1,1
KOR-049,0,0
KOR-050,1,1
KOR-101,0,1
KOR-105,1,1
KOR-109,0,1
KOR-110,0,0
KOR-116,0,0
LAT-002,0,0
LAT-003,0,0
LAT-009,0,0
LAT-014,0,0
LAT-015,0,1
LAT-017,0,0
LAT-018,0,0
LAT-019,0,0
LAT-021,0,0
LAT-023,0,0
LAT-024,1,0
LAT-026,0,0
LAT-027,0,0
LAT-029,0,0
LIT-001,0,0
LIT-003,1,0
LIT-006,0,0
LIT-008,1,0
LIT-010,1,0
LIT-013,1,0
LIT-020,0,0
LIT-021,0,0
LIT-025,0,0
LIT-028,0,0
LIT-032,0,0
LIT-041,0,0
MAL-003,1,1
MAL-005,0,0
MAL-006,1,0
MAL-007,0,0
MAL-012,0,0
MAL-018,0,0
MAL-019,0,0
MAL-021,0,0
MAL-023,0,0
MEX-001,0,0
MEX-002,0,0
MEX-003,0,1
MEX-004,0,0
MEX-007,0,1
MEX-008,0,1
MEX-009,0,1
MEX-012,0,1
MEX-023,0,0
MEX-024,0,1
MEX-027,0,0
MEX-028,0,0
MEX-032,0,0
MEX-035,0,1
MEX-040,0,0
MEX-041,0,0
MEX-043,0,1
MEX-046,0,1
NGA-010,0,1
NGA-019,0,0
PER-013,0,0
PER-017,0,0
PER-018,0,1
PER-020,0,1
PER-101,1,1
PER-103,0,0
PER-104,1,1
PER-107,0,0
PER-112,1,1
PER-116,0,0
PER-117,0,0
PER-124,0,0
PER-138,0,0
PER-140,0,1
POL-004,0,1
POL-005,0,1
POL-006,1,0
POL-007,1,0
POL-008,1,0
POL-009,1,1
POL-010,1,0
POL-104,1,1
POL-105,1,0
POL-106,1,1
POL-108,1,1
POL-110,0,0
POR-002,0,1
POR-003,0,1
