dataset_id,isolate_id,sequence_type,accession,source_url,local_path,expected_bytes,expected_checksum_type,expected_checksum,bytes,sha256,md5,validation_status,acquisition_status,accessed_at,error
ZENODO_10369064,S01,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S01.zip/content,data/raw/reads/zenodo_10369064/S01.zip,192673921,md5,c83520541e341c4dd1f5f43a332a92b3,192673921,5a292f1f3b1e6193b79f8f7f4758ca779783b3c71aa140f708b8d17a4b15d1dd,c83520541e341c4dd1f5f43a332a92b3,PASS,downloaded,2026-08-30T09:46:58+00:00,
ZENODO_10369064,S03,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S03.zip/content,data/raw/reads/zenodo_10369064/S03.zip,45061033,md5,75205b8d66d16fa168a6c357eec1b308,45061033,57c2137d06c441fdf2c6dbeee04bb52e78f77c870b55922dda3b3cd0a5ba948d,75205b8d66d16fa168a6c357eec1b308,PASS,downloaded,2026-08-30T09:43:55+00:00,
ZENODO_10369064,S04,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S04.zip/content,data/raw/reads/zenodo_10369064/S04.zip,28969986,md5,fd1139f26dc0870f5f84cd8a29f7f0f1,28969986,8afd8ee3ab46a516ebcb10cea0cb110dd3e587d1433fe4337544772f6203101d,fd1139f26dc0870f5f84cd8a29f7f0f1,PASS,downloaded,2026-08-30T09:42:22+00:00,
ZENODO_10369064,S05,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S05.zip/content,data/raw/reads/zenodo_10369064/S05.zip,37130854,md5,4706677d7d7fecb7fa55a531371379ba,37130854,c9e22858066897026d8c840331011796516cb321647b8fc9ea78e9f949e17a4e,4706677d7d7fecb7fa55a531371379ba,PASS,downloaded,2026-08-30T09:41:23+00:00,
ZENODO_10369064,S06,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S06.zip/content,data/raw/reads/zenodo_10369064/S06.zip,47750483,md5,17fd4029ce54e98872d98a2aa93e2465,47750483,64e730a7620fc6a7669503e08b78df803adfadde47fa88fcc9eaeec3220dc6ef,17fd4029ce54e98872d98a2aa93e2465,PASS,downloaded,2026-08-30T09:40:50+00:00,
ZENODO_10369064,S07,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S07.zip/content,data/raw/reads/zenodo_10369064/S07.zip,45370197,md5,e9bd8ee79ff62513345e8e024cb73bd6,45370197,bf5003ee364a036ca1d089bb18c4d49a0241aea3121e011aec1a2f906b2c874f,e9bd8ee79ff62513345e8e024cb73bd6,PASS,downloaded,2026-08-30T09:44:10+00:00,
ZENODO_10369064,S08,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S08.zip/content,data/raw/reads/zenodo_10369064/S08.zip,143797026,md5,9114ee74549b92bd11a4faee00420b70,143797026,1171003154e1daa384d0feec7d1aecb8a9ceff9fded1d556446cd17f888078c1,9114ee74549b92bd11a4faee00420b70,PASS,downloaded,2026-08-30T09:46:59+00:00,
ZENODO_10369064,S09,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S09.zip/content,data/raw/reads/zenodo_10369064/S09.zip,111036087,md5,7c31f88f53bd51c484581b841ad6b983,111036087,d91b193112cd218096a4db0be66abf8ebb20ef79c81b2a662841e619ffbfebd8,7c31f88f53bd51c484581b841ad6b983,PASS,downloaded,2026-08-30T09:55:22+00:00,
ZENODO_10369064,S10,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S10.zip/content,data/raw/reads/zenodo_10369064/S10.zip,28056413,md5,d95b16d3f1aa320dc23c2fdd4c7189db,28056413,9218ec0159a089c1f0099d0f1e6e7e97ca3dde406da51a0370d4c61aad4e47c5,d95b16d3f1aa320dc23c2fdd4c7189db,PASS,downloaded,2026-08-30T09:44:13+00:00,
ZENODO_10369064,S11,paired_reads,10.5281/zenodo.10369064,https://zenodo.org/api/records/10369064/files/S11.zip/content,data/raw/reads/zenodo_10369064/S11.zip,255933559,md5,ead518b84eea0a4b2494c99de15dd671,255933559,49b154fc4adaf4a9637e9b0cab0f2ddb4bd28979824119aa61f0cd36d60e6b2f,ead518b84eea0a4b2494c99de15dd671,PASS,downloaded,2026-08-30T09:47:28+00:00,
