dataset_id,antibiotic,observed_n_resistant,observed_n_susceptible,assumed_prevalence,ppv,npv
CHINA_NINGXIA_2022,clarithromycin,2,4,0.05,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.060000000000000005,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.07,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.08,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.09,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.1,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.11,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.12000000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.13,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.14,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.15000000000000002,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.16,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.16999999999999998,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.18,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.19,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.2,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.21000000000000002,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.22000000000000003,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.22999999999999998,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.24,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.25,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.26,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.27,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.28,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.29,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.3,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.31,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.32,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.33,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.33999999999999997,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.35,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.36,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.37,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.38,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.39,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.4,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.41,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.42,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.43,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.44,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.45,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.46,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.47,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.48,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.49,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.5,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.51,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.52,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.53,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.54,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.55,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.56,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.5700000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.5800000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.5900000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.6000000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.6100000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.6200000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.63,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.64,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.65,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.66,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.67,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.68,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.6900000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.7000000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.7100000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.7200000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.7300000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.7400000000000001,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.75,1.0,1.0
CHINA_NINGXIA_2022,levofloxacin,28,29,0.05,0.08546168958742631,0.9618671926364234
CHINA_NINGXIA_2022,levofloxacin,28,29,0.060000000000000005,0.10179407176287049,0.9541260216187715
CHINA_NINGXIA_2022,levofloxacin,28,29,0.07,0.1178861788617886,0.946345975948196
CHINA_NINGXIA_2022,levofloxacin,28,29,0.08,0.13374327440430436,0.9385267620561738
CHINA_NINGXIA_2022,levofloxacin,28,29,0.09,0.1493704692865318,0.9306680834108114
CHINA_NINGXIA_2022,levofloxacin,28,29,0.1,0.1647727272727272,0.9227696404793608
CHINA_NINGXIA_2022,levofloxacin,28,29,0.11,0.17995487025197437,0.9148311306901615
CHINA_NINGXIA_2022,levofloxacin,28,29,0.12000000000000001,0.19492158327109776,0.9068522483940042
CHINA_NINGXIA_2022,levofloxacin,28,29,0.13,0.20967741935483866,0.8988326848249028
CHINA_NINGXIA_2022,levofloxacin,28,29,0.14,0.2242268041237113,0.8907721280602637
CHINA_NINGXIA_2022,levofloxacin,28,29,0.15000000000000002,0.2385740402193784,0.882670262980445
CHINA_NINGXIA_2022,levofloxacin,28,29,0.16,0.2527233115468409,0.8745267712276906
CHINA_NINGXIA_2022,levofloxacin,28,29,0.16999999999999998,0.2666786873422285,0.8663413311644299
CHINA_NINGXIA_2022,levofloxacin,28,29,0.18,0.2804441260744985,0.8581136178309323
CHINA_NINGXIA_2022,levofloxacin,28,29,0.19,0.29402347918890065,0.8498433029023028
CHINA_NINGXIA_2022,levofloxacin,28,29,0.2,0.30742049469964655,0.8415300546448087
CHINA_NINGXIA_2022,levofloxacin,28,29,0.21000000000000002,0.32063882063882054,0.8331735378715245
CHINA_NINGXIA_2022,levofloxacin,28,29,0.22000000000000003,0.3336820083682008,0.8247734138972809
CHINA_NINGXIA_2022,levofloxacin,28,29,0.22999999999999998,0.34655351576030474,0.8163293404929093
CHINA_NINGXIA_2022,levofloxacin,28,29,0.24,0.35925671025464545,0.8078409718387631
CHINA_NINGXIA_2022,levofloxacin,28,29,0.25,0.3717948717948717,0.7993079584775086
CHINA_NINGXIA_2022,levofloxacin,28,29,0.26,0.3841711956521739,0.7907299472661671
CHINA_NINGXIA_2022,levofloxacin,28,29,0.27,0.39638879514006065,0.7821065813273967
CHINA_NINGXIA_2022,levofloxacin,28,29,0.28,0.408450704225352,0.7734374999999999
CHINA_NINGXIA_2022,levofloxacin,28,29,0.29,0.42035988003998653,0.7647223387886418
CHINA_NINGXIA_2022,levofloxacin,28,29,0.3,0.4321192052980131,0.7559607293127629
CHINA_NINGXIA_2022,levofloxacin,28,29,0.31,0.4437314906219151,0.7471522992546759
CHINA_NINGXIA_2022,levofloxacin,28,29,0.32,0.45519947678221057,0.7382966723068246
CHINA_NINGXIA_2022,levofloxacin,28,29,0.33,0.46652583685407856,0.7293934681181959
CHINA_NINGXIA_2022,levofloxacin,28,29,0.33999999999999997,0.4777131782945736,0.7204423022398639
CHINA_NINGXIA_2022,levofloxacin,28,29,0.35,0.4887640449438201,0.7114427860696518
CHINA_NINGXIA_2022,levofloxacin,28,29,0.36,0.499680918953414,0.7023945267958951
CHINA_NINGXIA_2022,levofloxacin,28,29,0.37,0.5104662226450998,0.6932971273402886
CHINA_NINGXIA_2022,levofloxacin,28,29,0.38,0.5211223203026482,0.6841501862997993
CHINA_NINGXIA_2022,levofloxacin,28,29,0.39,0.5316515198997179,0.6749532978876275
CHINA_NINGXIA_2022,levofloxacin,28,29,0.4,0.5420560747663551,0.6657060518731988
CHINA_NINGXIA_2022,levofloxacin,28,29,0.41,0.5523381851966552,0.6564080335211675
CHINA_NINGXIA_2022,levofloxacin,28,29,0.42,0.5624999999999999,0.6470588235294118
CHINA_NINGXIA_2022,levofloxacin,28,29,0.43,0.5725436179981632,0.6376579979660032
CHINA_NINGXIA_2022,levofloxacin,28,29,0.44,0.5824710894704807,0.6282051282051283
CHINA_NINGXIA_2022,levofloxacin,28,29,0.45,0.5922844175491678,0.618699780861943
CHINA_NINGXIA_2022,levofloxacin,28,29,0.46,0.6019855595667869,0.6091415177263404
CHINA_NINGXIA_2022,levofloxacin,28,29,0.47,0.6115764283577624,0.5995298956956074
CHINA_NINGXIA_2022,levofloxacin,28,29,0.48,0.6210588935157643,0.5898644667059517
CHINA_NINGXIA_2022,levofloxacin,28,29,0.49,0.6304347826086957,0.5801447776628749
CHINA_NINGXIA_2022,levofloxacin,28,29,0.5,0.6397058823529411,0.5703703703703704
CHINA_NINGXIA_2022,levofloxacin,28,29,0.51,0.6488739397484643,0.5605407814589214
CHINA_NINGXIA_2022,levofloxacin,28,29,0.52,0.6579406631762653,0.5506555423122764
CHINA_NINGXIA_2022,levofloxacin,28,29,0.53,0.666907723459647,0.5407141789929777
CHINA_NINGXIA_2022,levofloxacin,28,29,0.54,0.6757767548906789,0.5307162121666167
CHINA_NINGXIA_2022,levofloxacin,28,29,0.55,0.6845493562231759,0.5206611570247933
CHINA_NINGXIA_2022,levofloxacin,28,29,0.56,0.6932270916334661,0.510548523206751
CHINA_NINGXIA_2022,levofloxacin,28,29,0.5700000000000001,0.7018114916501557,0.5003778147196615
