dataset_id,antibiotic,metric,n_callable,n_uncallable,callable_median,uncallable_median,mann_whitney_u,mann_whitney_p,cliffs_delta_callable_minus_uncallable,auc_metric_predicting_callable
CHINA_NINGXIA_2022,clarithromycin,contigs,6,54,24.5,25.5,152.0,0.8146443739593539,-0.06172839506172845,0.4691358024691358
CHINA_NINGXIA_2022,clarithromycin,log10_n50_bp,6,54,5.012032399899031,5.024727678100959,142.0,0.6390246377326878,-0.12345679012345678,0.43827160493827166
CHINA_NINGXIA_2022,clarithromycin,completeness_percent,6,54,99.99,99.98,213.0,0.1990363547619175,0.3148148148148149,0.6574074074074074
CHINA_NINGXIA_2022,clarithromycin,contamination_percent,6,54,0.01,0.045,134.5,0.49917234115266285,-0.16975308641975306,0.4151234567901234
CHINA_NINGXIA_2022,levofloxacin,contigs,57,3,25.0,94.0,32.5,0.07452736294987677,-0.6198830409356726,0.19005847953216376
CHINA_NINGXIA_2022,levofloxacin,log10_n50_bp,57,3,5.025035371273884,4.312663866150631,141.0,0.0608416130917592,0.6491228070175439,0.824561403508772
CHINA_NINGXIA_2022,levofloxacin,completeness_percent,57,3,99.99,91.49,163.5,0.006667447512575012,0.9122807017543859,0.956140350877193
CHINA_NINGXIA_2022,levofloxacin,contamination_percent,57,3,0.01,10.11,0.0,0.003406180316995466,-1.0,0.0
HPGP_GLOBAL,clarithromycin,contigs,414,0,1.0,,,,,
HPGP_GLOBAL,clarithromycin,log10_n50_bp,414,0,6.214280354956263,,,,,
HPGP_GLOBAL,clarithromycin,completeness_percent,414,0,99.99,,,,,
HPGP_GLOBAL,clarithromycin,contamination_percent,414,0,0.06,,,,,
HPGP_GLOBAL,levofloxacin,contigs,414,0,1.0,,,,,
HPGP_GLOBAL,levofloxacin,log10_n50_bp,414,0,6.214280354956263,,,,,
HPGP_GLOBAL,levofloxacin,completeness_percent,414,0,99.99,,,,,
HPGP_GLOBAL,levofloxacin,contamination_percent,414,0,0.06,,,,,
ZENODO_10369064,clarithromycin,contigs,46,6,80.5,423.0,0.0,8.154074297901495e-05,-1.0,0.0
ZENODO_10369064,clarithromycin,log10_n50_bp,46,6,4.624102833028669,4.1064098570314975,191.0,0.1353709405202343,0.3840579710144927,0.6920289855072465
ZENODO_10369064,clarithromycin,completeness_percent,46,6,99.99,95.7,193.0,0.10553696634124445,0.39855072463768115,0.6992753623188407
ZENODO_10369064,clarithromycin,contamination_percent,46,6,0.025,3.965,1.0,8.007719215413986e-05,-0.9927536231884058,0.0036231884057971006
ZENODO_10369064,levofloxacin,contigs,42,10,78.0,313.0,97.0,0.008972389569780425,-0.5380952380952381,0.23095238095238094
ZENODO_10369064,levofloxacin,log10_n50_bp,42,10,4.624102833028669,4.584092478605109,239.0,0.5081520110184716,0.13809523809523805,0.569047619047619
ZENODO_10369064,levofloxacin,completeness_percent,42,10,99.99,99.97,252.0,0.3177378192054401,0.19999999999999996,0.6000000000000001
ZENODO_10369064,levofloxacin,contamination_percent,42,10,0.02,2.375,78.0,0.0020686365474774098,-0.6285714285714286,0.18571428571428572
