dataset_id,isolate_id,sample_name,status,output_dir,error
CHINA_NINGXIA_2022,SHZY01,CHINA_NINGXIA_2022__SHZY01,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY01,
CHINA_NINGXIA_2022,SHZY02,CHINA_NINGXIA_2022__SHZY02,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY02,
CHINA_NINGXIA_2022,SHZY03,CHINA_NINGXIA_2022__SHZY03,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY03,
CHINA_NINGXIA_2022,SHZY04,CHINA_NINGXIA_2022__SHZY04,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY04,
CHINA_NINGXIA_2022,SHZY05,CHINA_NINGXIA_2022__SHZY05,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY05,
CHINA_NINGXIA_2022,SHZY06,CHINA_NINGXIA_2022__SHZY06,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY06,
CHINA_NINGXIA_2022,SHZY07,CHINA_NINGXIA_2022__SHZY07,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY07,
CHINA_NINGXIA_2022,SHZY08,CHINA_NINGXIA_2022__SHZY08,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY08,
CHINA_NINGXIA_2022,SHZY09,CHINA_NINGXIA_2022__SHZY09,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY09,
CHINA_NINGXIA_2022,SHZY10,CHINA_NINGXIA_2022__SHZY10,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY10,
CHINA_NINGXIA_2022,SHZY11,CHINA_NINGXIA_2022__SHZY11,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY11,
CHINA_NINGXIA_2022,SHZY12,CHINA_NINGXIA_2022__SHZY12,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY12,
CHINA_NINGXIA_2022,SHZY13,CHINA_NINGXIA_2022__SHZY13,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY13,
CHINA_NINGXIA_2022,SHZY14,CHINA_NINGXIA_2022__SHZY14,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY14,
CHINA_NINGXIA_2022,SHZY15,CHINA_NINGXIA_2022__SHZY15,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY15,
CHINA_NINGXIA_2022,SHZY16,CHINA_NINGXIA_2022__SHZY16,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY16,
CHINA_NINGXIA_2022,SHZY17,CHINA_NINGXIA_2022__SHZY17,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY17,
CHINA_NINGXIA_2022,SHZY18,CHINA_NINGXIA_2022__SHZY18,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY18,
CHINA_NINGXIA_2022,SHZY19,CHINA_NINGXIA_2022__SHZY19,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY19,
CHINA_NINGXIA_2022,SHZY20,CHINA_NINGXIA_2022__SHZY20,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY20,
CHINA_NINGXIA_2022,SHZY21,CHINA_NINGXIA_2022__SHZY21,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY21,
CHINA_NINGXIA_2022,SHZY22,CHINA_NINGXIA_2022__SHZY22,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY22,
CHINA_NINGXIA_2022,SHZY23,CHINA_NINGXIA_2022__SHZY23,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY23,
CHINA_NINGXIA_2022,SHZY24,CHINA_NINGXIA_2022__SHZY24,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY24,
CHINA_NINGXIA_2022,SHZY26,CHINA_NINGXIA_2022__SHZY26,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY26,
CHINA_NINGXIA_2022,SHZY27,CHINA_NINGXIA_2022__SHZY27,already_complete,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY27,
CHINA_NINGXIA_2022,SHZY28,CHINA_NINGXIA_2022__SHZY28,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY28,
CHINA_NINGXIA_2022,SHZY29,CHINA_NINGXIA_2022__SHZY29,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY29,
CHINA_NINGXIA_2022,SHZY30,CHINA_NINGXIA_2022__SHZY30,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY30,
CHINA_NINGXIA_2022,SHZY31,CHINA_NINGXIA_2022__SHZY31,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY31,
CHINA_NINGXIA_2022,SHZY32,CHINA_NINGXIA_2022__SHZY32,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY32,
CHINA_NINGXIA_2022,SHZY33,CHINA_NINGXIA_2022__SHZY33,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY33,
CHINA_NINGXIA_2022,SHZY34,CHINA_NINGXIA_2022__SHZY34,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY34,
CHINA_NINGXIA_2022,SHZY35,CHINA_NINGXIA_2022__SHZY35,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY35,
CHINA_NINGXIA_2022,SHZY36,CHINA_NINGXIA_2022__SHZY36,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY36,
CHINA_NINGXIA_2022,SHZY37,CHINA_NINGXIA_2022__SHZY37,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY37,
CHINA_NINGXIA_2022,SHZY38,CHINA_NINGXIA_2022__SHZY38,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY38,
CHINA_NINGXIA_2022,SHZY39,CHINA_NINGXIA_2022__SHZY39,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY39,
CHINA_NINGXIA_2022,SHZY40,CHINA_NINGXIA_2022__SHZY40,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY40,
CHINA_NINGXIA_2022,SHZY41,CHINA_NINGXIA_2022__SHZY41,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY41,
CHINA_NINGXIA_2022,SHZY42,CHINA_NINGXIA_2022__SHZY42,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY42,
CHINA_NINGXIA_2022,SHZY43,CHINA_NINGXIA_2022__SHZY43,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY43,
CHINA_NINGXIA_2022,SHZY44,CHINA_NINGXIA_2022__SHZY44,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY44,
CHINA_NINGXIA_2022,SHZY45,CHINA_NINGXIA_2022__SHZY45,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY45,
CHINA_NINGXIA_2022,SHZY46,CHINA_NINGXIA_2022__SHZY46,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY46,
CHINA_NINGXIA_2022,SHZY47,CHINA_NINGXIA_2022__SHZY47,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY47,
CHINA_NINGXIA_2022,SHZY48,CHINA_NINGXIA_2022__SHZY48,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY48,
CHINA_NINGXIA_2022,SHZY49,CHINA_NINGXIA_2022__SHZY49,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY49,
CHINA_NINGXIA_2022,SHZY50,CHINA_NINGXIA_2022__SHZY50,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY50,
CHINA_NINGXIA_2022,SHZY51,CHINA_NINGXIA_2022__SHZY51,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY51,
CHINA_NINGXIA_2022,SHZY52,CHINA_NINGXIA_2022__SHZY52,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY52,
CHINA_NINGXIA_2022,SHZY53,CHINA_NINGXIA_2022__SHZY53,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY53,
CHINA_NINGXIA_2022,SHZY54,CHINA_NINGXIA_2022__SHZY54,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY54,
CHINA_NINGXIA_2022,SHZY55,CHINA_NINGXIA_2022__SHZY55,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY55,
CHINA_NINGXIA_2022,SHZY57,CHINA_NINGXIA_2022__SHZY57,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY57,
CHINA_NINGXIA_2022,SHZY59,CHINA_NINGXIA_2022__SHZY59,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY59,
CHINA_NINGXIA_2022,SHZY60,CHINA_NINGXIA_2022__SHZY60,PASS,data/phylogeny/snippy/CHINA_NINGXIA_2022__SHZY60,
HPGP_GLOBAL,ALG-001,HPGP_GLOBAL__ALG-001,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-001,
HPGP_GLOBAL,ALG-002,HPGP_GLOBAL__ALG-002,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-002,
HPGP_GLOBAL,ALG-003,HPGP_GLOBAL__ALG-003,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-003,
HPGP_GLOBAL,ALG-004,HPGP_GLOBAL__ALG-004,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-004,
HPGP_GLOBAL,ALG-005,HPGP_GLOBAL__ALG-005,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-005,
HPGP_GLOBAL,ALG-007,HPGP_GLOBAL__ALG-007,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-007,
HPGP_GLOBAL,ALG-008,HPGP_GLOBAL__ALG-008,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-008,
HPGP_GLOBAL,ALG-009,HPGP_GLOBAL__ALG-009,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-009,
HPGP_GLOBAL,ALG-010,HPGP_GLOBAL__ALG-010,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ALG-010,
HPGP_GLOBAL,ARG-001,HPGP_GLOBAL__ARG-001,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-001,
HPGP_GLOBAL,ARG-002,HPGP_GLOBAL__ARG-002,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-002,
HPGP_GLOBAL,ARG-003,HPGP_GLOBAL__ARG-003,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-003,
HPGP_GLOBAL,ARG-004,HPGP_GLOBAL__ARG-004,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-004,
HPGP_GLOBAL,ARG-005,HPGP_GLOBAL__ARG-005,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-005,
HPGP_GLOBAL,ARG-006,HPGP_GLOBAL__ARG-006,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-006,
HPGP_GLOBAL,ARG-007,HPGP_GLOBAL__ARG-007,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-007,
HPGP_GLOBAL,ARG-008,HPGP_GLOBAL__ARG-008,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-008,
HPGP_GLOBAL,ARG-009,HPGP_GLOBAL__ARG-009,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-009,
HPGP_GLOBAL,ARG-010,HPGP_GLOBAL__ARG-010,PASS,data/phylogeny/snippy/HPGP_GLOBAL__ARG-010,
HPGP_GLOBAL,BRA-002,HPGP_GLOBAL__BRA-002,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-002,
HPGP_GLOBAL,BRA-006,HPGP_GLOBAL__BRA-006,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-006,
HPGP_GLOBAL,BRA-009,HPGP_GLOBAL__BRA-009,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-009,
HPGP_GLOBAL,BRA-010,HPGP_GLOBAL__BRA-010,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-010,
HPGP_GLOBAL,BRA-013,HPGP_GLOBAL__BRA-013,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-013,
HPGP_GLOBAL,BRA-014,HPGP_GLOBAL__BRA-014,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-014,
HPGP_GLOBAL,BRA-017,HPGP_GLOBAL__BRA-017,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-017,
HPGP_GLOBAL,BRA-018,HPGP_GLOBAL__BRA-018,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-018,
HPGP_GLOBAL,BRA-020,HPGP_GLOBAL__BRA-020,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-020,
HPGP_GLOBAL,BRA-022,HPGP_GLOBAL__BRA-022,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-022,
HPGP_GLOBAL,BRA-023,HPGP_GLOBAL__BRA-023,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-023,
HPGP_GLOBAL,BRA-025,HPGP_GLOBAL__BRA-025,PASS,data/phylogeny/snippy/HPGP_GLOBAL__BRA-025,
HPGP_GLOBAL,CHI-001,HPGP_GLOBAL__CHI-001,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-001,
HPGP_GLOBAL,CHI-002,HPGP_GLOBAL__CHI-002,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-002,
HPGP_GLOBAL,CHI-004,HPGP_GLOBAL__CHI-004,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-004,
HPGP_GLOBAL,CHI-005,HPGP_GLOBAL__CHI-005,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-005,
HPGP_GLOBAL,CHI-007,HPGP_GLOBAL__CHI-007,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-007,
HPGP_GLOBAL,CHI-008,HPGP_GLOBAL__CHI-008,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-008,
HPGP_GLOBAL,CHI-010,HPGP_GLOBAL__CHI-010,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-010,
HPGP_GLOBAL,CHI-011,HPGP_GLOBAL__CHI-011,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-011,
HPGP_GLOBAL,CHI-014,HPGP_GLOBAL__CHI-014,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-014,
HPGP_GLOBAL,CHI-017,HPGP_GLOBAL__CHI-017,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-017,
HPGP_GLOBAL,CHI-018,HPGP_GLOBAL__CHI-018,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-018,
HPGP_GLOBAL,CHI-021,HPGP_GLOBAL__CHI-021,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-021,
HPGP_GLOBAL,CHI-022,HPGP_GLOBAL__CHI-022,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-022,
HPGP_GLOBAL,CHI-023,HPGP_GLOBAL__CHI-023,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-023,
HPGP_GLOBAL,CHI-024,HPGP_GLOBAL__CHI-024,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-024,
HPGP_GLOBAL,CHI-101,HPGP_GLOBAL__CHI-101,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-101,
HPGP_GLOBAL,CHI-102,HPGP_GLOBAL__CHI-102,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-102,
HPGP_GLOBAL,CHI-103,HPGP_GLOBAL__CHI-103,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-103,
HPGP_GLOBAL,CHI-104,HPGP_GLOBAL__CHI-104,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-104,
HPGP_GLOBAL,CHI-106,HPGP_GLOBAL__CHI-106,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-106,
HPGP_GLOBAL,CHI-107,HPGP_GLOBAL__CHI-107,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-107,
HPGP_GLOBAL,CHI-113,HPGP_GLOBAL__CHI-113,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-113,
HPGP_GLOBAL,CHI-114,HPGP_GLOBAL__CHI-114,PASS,data/phylogeny/snippy/HPGP_GLOBAL__CHI-114,
