dataset_id,isolate_id,near_clone_group,group_size
CHINA_NINGXIA_2022,SHZY01,NCG0001,1
CHINA_NINGXIA_2022,SHZY02,NCG0002,1
CHINA_NINGXIA_2022,SHZY03,NCG0003,1
CHINA_NINGXIA_2022,SHZY04,NCG0004,1
CHINA_NINGXIA_2022,SHZY05,NCG0005,1
CHINA_NINGXIA_2022,SHZY06,NCG0006,1
CHINA_NINGXIA_2022,SHZY07,NCG0007,1
CHINA_NINGXIA_2022,SHZY08,NCG0008,1
CHINA_NINGXIA_2022,SHZY09,NCG0009,1
CHINA_NINGXIA_2022,SHZY10,NCG0010,1
CHINA_NINGXIA_2022,SHZY11,NCG0011,1
CHINA_NINGXIA_2022,SHZY12,NCG0012,1
CHINA_NINGXIA_2022,SHZY13,NCG0013,1
CHINA_NINGXIA_2022,SHZY14,NCG0014,1
CHINA_NINGXIA_2022,SHZY15,NCG0015,1
CHINA_NINGXIA_2022,SHZY16,NCG0016,1
CHINA_NINGXIA_2022,SHZY17,NCG0017,1
CHINA_NINGXIA_2022,SHZY18,NCG0018,1
CHINA_NINGXIA_2022,SHZY19,NCG0019,1
CHINA_NINGXIA_2022,SHZY20,NCG0020,1
CHINA_NINGXIA_2022,SHZY21,NCG0021,1
CHINA_NINGXIA_2022,SHZY22,NCG0022,1
CHINA_NINGXIA_2022,SHZY23,NCG0023,1
CHINA_NINGXIA_2022,SHZY24,NCG0024,1
CHINA_NINGXIA_2022,SHZY26,NCG0025,1
CHINA_NINGXIA_2022,SHZY27,NCG0026,1
CHINA_NINGXIA_2022,SHZY28,NCG0027,1
CHINA_NINGXIA_2022,SHZY29,NCG0028,1
CHINA_NINGXIA_2022,SHZY30,NCG0029,1
CHINA_NINGXIA_2022,SHZY31,NCG0030,1
CHINA_NINGXIA_2022,SHZY32,NCG0031,1
CHINA_NINGXIA_2022,SHZY33,NCG0032,1
CHINA_NINGXIA_2022,SHZY34,NCG0033,1
CHINA_NINGXIA_2022,SHZY35,NCG0034,1
CHINA_NINGXIA_2022,SHZY36,NCG0035,1
CHINA_NINGXIA_2022,SHZY37,NCG0036,1
CHINA_NINGXIA_2022,SHZY38,NCG0037,1
CHINA_NINGXIA_2022,SHZY39,NCG0038,1
CHINA_NINGXIA_2022,SHZY40,NCG0039,1
CHINA_NINGXIA_2022,SHZY41,NCG0040,1
CHINA_NINGXIA_2022,SHZY42,NCG0041,1
CHINA_NINGXIA_2022,SHZY43,NCG0042,1
CHINA_NINGXIA_2022,SHZY44,NCG0043,1
CHINA_NINGXIA_2022,SHZY45,NCG0044,1
CHINA_NINGXIA_2022,SHZY46,NCG0045,1
CHINA_NINGXIA_2022,SHZY47,NCG0046,1
CHINA_NINGXIA_2022,SHZY48,NCG0047,1
CHINA_NINGXIA_2022,SHZY49,NCG0048,1
CHINA_NINGXIA_2022,SHZY50,NCG0049,1
CHINA_NINGXIA_2022,SHZY51,NCG0050,1
CHINA_NINGXIA_2022,SHZY52,NCG0051,1
CHINA_NINGXIA_2022,SHZY53,NCG0052,1
CHINA_NINGXIA_2022,SHZY54,NCG0053,1
CHINA_NINGXIA_2022,SHZY55,NCG0054,1
CHINA_NINGXIA_2022,SHZY57,NCG0055,1
CHINA_NINGXIA_2022,SHZY59,NCG0056,1
CHINA_NINGXIA_2022,SHZY60,NCG0057,1
HPGP_GLOBAL,ALG-001,NCG0058,1
HPGP_GLOBAL,ALG-002,NCG0059,1
HPGP_GLOBAL,ALG-003,NCG0060,1
HPGP_GLOBAL,ALG-004,NCG0061,1
HPGP_GLOBAL,ALG-005,NCG0062,1
HPGP_GLOBAL,ALG-007,NCG0063,1
HPGP_GLOBAL,ALG-008,NCG0064,1
HPGP_GLOBAL,ALG-009,NCG0065,1
HPGP_GLOBAL,ALG-010,NCG0066,1
HPGP_GLOBAL,ARG-001,NCG0067,1
HPGP_GLOBAL,ARG-002,NCG0068,1
HPGP_GLOBAL,ARG-003,NCG0069,1
HPGP_GLOBAL,ARG-004,NCG0070,1
HPGP_GLOBAL,ARG-005,NCG0071,1
HPGP_GLOBAL,ARG-006,NCG0072,1
HPGP_GLOBAL,ARG-007,NCG0073,1
HPGP_GLOBAL,ARG-008,NCG0074,1
HPGP_GLOBAL,ARG-009,NCG0075,1
HPGP_GLOBAL,ARG-010,NCG0076,1
HPGP_GLOBAL,BRA-002,NCG0077,1
HPGP_GLOBAL,BRA-006,NCG0078,1
HPGP_GLOBAL,BRA-009,NCG0079,1
HPGP_GLOBAL,BRA-010,NCG0080,1
HPGP_GLOBAL,BRA-013,NCG0081,1
HPGP_GLOBAL,BRA-014,NCG0082,1
HPGP_GLOBAL,BRA-017,NCG0083,1
HPGP_GLOBAL,BRA-018,NCG0084,1
HPGP_GLOBAL,BRA-020,NCG0085,1
HPGP_GLOBAL,BRA-022,NCG0086,1
HPGP_GLOBAL,BRA-023,NCG0087,1
HPGP_GLOBAL,BRA-025,NCG0088,1
HPGP_GLOBAL,CHI-001,NCG0089,1
HPGP_GLOBAL,CHI-002,NCG0090,1
HPGP_GLOBAL,CHI-004,NCG0091,1
HPGP_GLOBAL,CHI-005,NCG0092,1
HPGP_GLOBAL,CHI-007,NCG0093,1
HPGP_GLOBAL,CHI-008,NCG0094,1
HPGP_GLOBAL,CHI-010,NCG0095,1
HPGP_GLOBAL,CHI-011,NCG0096,1
HPGP_GLOBAL,CHI-014,NCG0097,1
HPGP_GLOBAL,CHI-017,NCG0098,1
HPGP_GLOBAL,CHI-018,NCG0099,1
HPGP_GLOBAL,CHI-021,NCG0100,1
HPGP_GLOBAL,CHI-022,NCG0101,1
HPGP_GLOBAL,CHI-023,NCG0102,1
HPGP_GLOBAL,CHI-024,NCG0103,1
HPGP_GLOBAL,CHI-101,NCG0104,1
HPGP_GLOBAL,CHI-102,NCG0105,1
HPGP_GLOBAL,CHI-103,NCG0106,1
HPGP_GLOBAL,CHI-104,NCG0107,1
HPGP_GLOBAL,CHI-106,NCG0108,1
HPGP_GLOBAL,CHI-107,NCG0109,1
HPGP_GLOBAL,CHI-113,NCG0110,1
HPGP_GLOBAL,CHI-114,NCG0111,1
HPGP_GLOBAL,CHI-119,NCG0112,1
HPGP_GLOBAL,CHI-122,NCG0113,1
HPGP_GLOBAL,CHI-123,NCG0114,1
HPGP_GLOBAL,CHI-124,NCG0115,1
HPGP_GLOBAL,CHI-125,NCG0116,1
HPGP_GLOBAL,CHI-126,NCG0117,1
HPGP_GLOBAL,CHI-127,NCG0118,1
HPGP_GLOBAL,CHN-001,NCG0119,1
HPGP_GLOBAL,CHN-002,NCG0120,1
HPGP_GLOBAL,CHN-004,NCG0121,1
HPGP_GLOBAL,CHN-005,NCG0122,1
HPGP_GLOBAL,CHN-009,NCG0123,1
HPGP_GLOBAL,CHN-010,NCG0124,1
HPGP_GLOBAL,COL-003,NCG0125,1
HPGP_GLOBAL,COL-005,NCG0126,1
HPGP_GLOBAL,COL-006,NCG0127,1
HPGP_GLOBAL,COL-008,NCG0128,1
HPGP_GLOBAL,CRI-001,NCG0129,1
HPGP_GLOBAL,CRI-002,NCG0130,1
HPGP_GLOBAL,CRI-004,NCG0131,1
HPGP_GLOBAL,CRI-005,NCG0132,1
HPGP_GLOBAL,CRI-006,NCG0133,1
HPGP_GLOBAL,FRA-001,NCG0134,1
HPGP_GLOBAL,FRA-002,NCG0135,1
HPGP_GLOBAL,FRA-003,NCG0136,1
HPGP_GLOBAL,FRA-004,NCG0137,1
HPGP_GLOBAL,FRA-005,NCG0138,1
HPGP_GLOBAL,FRA-006,NCG0139,1
HPGP_GLOBAL,FRA-007,NCG0140,1
HPGP_GLOBAL,FRA-008,NCG0141,1
HPGP_GLOBAL,FRA-009,NCG0142,1
HPGP_GLOBAL,FRA-010,NCG0143,1
HPGP_GLOBAL,FRA-011,NCG0144,1
HPGP_GLOBAL,FRA-012,NCG0145,2
HPGP_GLOBAL,FRA-014,NCG0145,2
HPGP_GLOBAL,FRA-013,NCG0146,1
HPGP_GLOBAL,FRA-015,NCG0147,1
HPGP_GLOBAL,FRA-016,NCG0148,1
HPGP_GLOBAL,FRA-017,NCG0149,1
HPGP_GLOBAL,FRA-018,NCG0150,1
HPGP_GLOBAL,FRA-019,NCG0151,1
HPGP_GLOBAL,FRA-020,NCG0152,1
HPGP_GLOBAL,FRA-021,NCG0153,1
HPGP_GLOBAL,GER-004,NCG0154,1
HPGP_GLOBAL,GER-005,NCG0155,1
HPGP_GLOBAL,GER-006,NCG0156,1
HPGP_GLOBAL,GER-010,NCG0157,1
HPGP_GLOBAL,GER-012,NCG0158,1
HPGP_GLOBAL,GER-013,NCG0159,1
HPGP_GLOBAL,GER-015,NCG0160,1
HPGP_GLOBAL,GER-018,NCG0161,1
HPGP_GLOBAL,GER-019,NCG0162,1
HPGP_GLOBAL,GER-021,NCG0163,1
HPGP_GLOBAL,GMB-004,NCG0164,1
HPGP_GLOBAL,GMB-007,NCG0165,1
HPGP_GLOBAL,GMB-008,NCG0166,1
HPGP_GLOBAL,GMB-009,NCG0167,1
HPGP_GLOBAL,GRE-001,NCG0168,1
HPGP_GLOBAL,GRE-003,NCG0169,1
HPGP_GLOBAL,GRE-004,NCG0170,1
HPGP_GLOBAL,GRE-008,NCG0171,1
HPGP_GLOBAL,GRE-012,NCG0172,1
HPGP_GLOBAL,GRE-019,NCG0173,1
HPGP_GLOBAL,GRE-020,NCG0174,1
HPGP_GLOBAL,GRE-041,NCG0175,2
HPGP_GLOBAL,GRE-046,NCG0175,2
HPGP_GLOBAL,GRE-044,NCG0176,1
HPGP_GLOBAL,GTM-004,NCG0177,1
HPGP_GLOBAL,GTM-010,NCG0178,1
HPGP_GLOBAL,HON-003,NCG0179,1
HPGP_GLOBAL,HON-004,NCG0180,1
HPGP_GLOBAL,HON-005,NCG0181,1
HPGP_GLOBAL,HON-006,NCG0182,1
HPGP_GLOBAL,HON-007,NCG0183,1
HPGP_GLOBAL,HON-009,NCG0184,1
HPGP_GLOBAL,HON-015,NCG0185,1
HPGP_GLOBAL,HON-017,NCG0186,1
HPGP_GLOBAL,HON-018,NCG0187,1
HPGP_GLOBAL,HON-019,NCG0188,1
