scenario,stratum_type,stratum,dataset_id,antibiotic,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,false_susceptible_rate_ci_low,false_susceptible_rate_ci_high,false_resistant_rate_ci_low,false_resistant_rate_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,mcc_bootstrap_low,mcc_bootstrap_high,auroc_binary_score_bootstrap_low,auroc_binary_score_bootstrap_high,auprc_binary_score_bootstrap_low,auprc_binary_score_bootstrap_high,brier_binary_score_bootstrap_low,brier_binary_score_bootstrap_high
PRIMARY_ORIGINAL_I_EXCLUDED,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,6,2,4,2,4,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.3976353643835253,1.0,0.0,0.841886116991581,0.0,0.6023646356164746,0.15811388300841897,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PRIMARY_ORIGINAL_I_EXCLUDED,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,levofloxacin,57,28,29,12,22,7,16,0.49122807017543857,0.4285714285714285,0.7586206896551724,0.5714285714285714,0.2413793103448276,0.5935960591133005,0.19851666679418606,0.631578947368421,0.5789473684210527,0.5935960591133005,0.5513784461152882,0.40350877192982454,0.24462393630214663,0.628206371387904,0.5645996540114667,0.8970164492273827,0.3717936286120959,0.7553760636978534,0.10298355077261735,0.43540034598853333,0.38357792331440527,0.8371141278449004,0.40821445411990515,0.7369017627485158,0.46777462121212127,0.7100056818181818,-0.06983498736668739,0.4413425704329451,0.46777462121212127,0.7100056818181818,0.39905108944383644,0.7090562343358395,0.2807017543859649,0.543859649122807
PRIMARY_ORIGINAL_I_EXCLUDED,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,clarithromycin,414,108,306,108,306,0,0,0.2608695652173913,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9664204497813456,1.0,0.9880172107339854,1.0,0.0,0.033579550218654476,0.0,0.011982789266014617,0.9664204497813456,1.0,0.9880172107339854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PRIMARY_ORIGINAL_I_EXCLUDED,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,levofloxacin,414,133,281,131,281,0,2,0.321256038647343,0.9849624060150376,1.0,0.0150375939849624,0.0,0.9924812030075187,0.9889396043009203,1.0,0.9929328621908127,0.9924812030075187,0.9897933238894338,0.004830917874396135,0.9467356013821775,0.9981736611688586,0.9869581073370893,1.0,0.0018263388311413895,0.05326439861782252,0.0,0.013041892662910644,0.9722333948899635,1.0,0.9747056400929864,0.9991429880162443,0.9806201550387597,1.0,0.9718805424130796,1.0,0.9806201550387597,1.0,0.9733762324076165,1.0,0.0,0.012106537530266344
PRIMARY_ORIGINAL_I_EXCLUDED,COHORT,ZENODO_10369064,ZENODO_10369064,clarithromycin,44,20,24,18,23,1,2,0.45454545454545453,0.9,0.9583333333333334,0.1,0.041666666666666664,0.9291666666666667,0.8628390510808928,0.9473684210526315,0.92,0.9291666666666667,0.8980861244019138,0.06818181818181818,0.6830172859809177,0.9876514728297052,0.7887983165430269,0.9989456475545303,0.012348527170294808,0.31698271401908235,0.0010543524454697472,0.2112016834569731,0.7397193458047858,0.9986683711958205,0.7396941578947858,0.9901604099812025,0.8408799533799532,1.0,0.6895152876862637,1.0,0.8408799533799532,1.0,0.7614308768154922,1.0,0.0,0.1590909090909091
PRIMARY_ORIGINAL_I_EXCLUDED,COHORT,ZENODO_10369064,ZENODO_10369064,levofloxacin,39,16,23,14,22,1,2,0.41025641025641024,0.875,0.9565217391304348,0.125,0.043478260869565216,0.9157608695652174,0.8407101035796285,0.9333333333333333,0.9166666666666666,0.9157608695652174,0.867948717948718,0.07692307692307693,0.6165237631507364,0.9844863961845861,0.7805133925465195,0.9988998313695585,0.015513603815413885,0.38347623684926346,0.0011001686304414997,0.2194866074534804,0.6805154334216966,0.9983135697586473,0.7300271984423964,0.9897436587187498,0.809776138716356,1.0,0.638306902323129,1.0,0.809776138716356,1.0,0.689375,1.0,0.0,0.1794871794871795
EXCLUDE_BORDERLINE_MIC,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,5,2,3,2,3,0,0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.2924017738212866,1.0,0.0,0.841886116991581,0.0,0.7075982261787133,0.15811388300841897,1.0,0.2924017738212866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
EXCLUDE_BORDERLINE_MIC,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,levofloxacin,53,28,25,12,19,6,16,0.5283018867924528,0.4285714285714285,0.76,0.5714285714285714,0.24,0.5942857142857143,0.19877173863915526,0.6666666666666666,0.5428571428571428,0.5942857142857143,0.5876010781671159,0.41509433962264153,0.24462393630214663,0.628206371387904,0.5487119821833135,0.9064355606682571,0.3717936286120959,0.7553760636978534,0.09356443933174285,0.4512880178166864,0.40992523817207444,0.8665725974938765,0.36645801712145215,0.711728556209243,0.469941348973607,0.7129729406130269,-0.065758854839191,0.4429304835516682,0.469941348973607,0.7129729406130269,0.43148656375071476,0.7446931584808278,0.2830188679245283,0.5471698113207547
EXCLUDE_BORDERLINE_MIC,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,clarithromycin,414,108,306,108,306,0,0,0.2608695652173913,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9664204497813456,1.0,0.9880172107339854,1.0,0.0,0.033579550218654476,0.0,0.011982789266014617,0.9664204497813456,1.0,0.9880172107339854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
EXCLUDE_BORDERLINE_MIC,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,levofloxacin,414,133,281,131,281,0,2,0.321256038647343,0.9849624060150376,1.0,0.0150375939849624,0.0,0.9924812030075187,0.9889396043009203,1.0,0.9929328621908127,0.9924812030075187,0.9897933238894338,0.004830917874396135,0.9467356013821775,0.9981736611688586,0.9869581073370893,1.0,0.0018263388311413895,0.05326439861782252,0.0,0.013041892662910644,0.9722333948899635,1.0,0.9747056400929864,0.9991429880162443,0.9806201550387597,1.0,0.9718805424130796,1.0,0.9806201550387597,1.0,0.9733762324076165,1.0,0.0,0.012106537530266344
EXCLUDE_BORDERLINE_MIC,COHORT,ZENODO_10369064,ZENODO_10369064,clarithromycin,44,20,24,18,23,1,2,0.45454545454545453,0.9,0.9583333333333334,0.1,0.041666666666666664,0.9291666666666667,0.8628390510808928,0.9473684210526315,0.92,0.9291666666666667,0.8980861244019138,0.06818181818181818,0.6830172859809177,0.9876514728297052,0.7887983165430269,0.9989456475545303,0.012348527170294808,0.31698271401908235,0.0010543524454697472,0.2112016834569731,0.7397193458047858,0.9986683711958205,0.7396941578947858,0.9901604099812025,0.8408799533799532,1.0,0.6895152876862637,1.0,0.8408799533799532,1.0,0.7614308768154922,1.0,0.0,0.1590909090909091
EXCLUDE_BORDERLINE_MIC,COHORT,ZENODO_10369064,ZENODO_10369064,levofloxacin,39,16,23,14,22,1,2,0.41025641025641024,0.875,0.9565217391304348,0.125,0.043478260869565216,0.9157608695652174,0.8407101035796285,0.9333333333333333,0.9166666666666666,0.9157608695652174,0.867948717948718,0.07692307692307693,0.6165237631507364,0.9844863961845861,0.7805133925465195,0.9988998313695585,0.015513603815413885,0.38347623684926346,0.0011001686304414997,0.2194866074534804,0.6805154334216966,0.9983135697586473,0.7300271984423964,0.9897436587187498,0.809776138716356,1.0,0.638306902323129,1.0,0.809776138716356,1.0,0.689375,1.0,0.0,0.1794871794871795
I_AS_S,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,6,2,4,2,4,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.3976353643835253,1.0,0.0,0.841886116991581,0.0,0.6023646356164746,0.15811388300841897,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
I_AS_S,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,levofloxacin,57,28,29,12,22,7,16,0.49122807017543857,0.4285714285714285,0.7586206896551724,0.5714285714285714,0.2413793103448276,0.5935960591133005,0.19851666679418606,0.631578947368421,0.5789473684210527,0.5935960591133005,0.5513784461152882,0.40350877192982454,0.24462393630214663,0.628206371387904,0.5645996540114667,0.8970164492273827,0.3717936286120959,0.7553760636978534,0.10298355077261735,0.43540034598853333,0.38357792331440527,0.8371141278449004,0.40821445411990515,0.7369017627485158,0.46777462121212127,0.7100056818181818,-0.06983498736668739,0.4413425704329451,0.46777462121212127,0.7100056818181818,0.39905108944383644,0.7090562343358395,0.2807017543859649,0.543859649122807
I_AS_S,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,clarithromycin,414,108,306,108,306,0,0,0.2608695652173913,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9664204497813456,1.0,0.9880172107339854,1.0,0.0,0.033579550218654476,0.0,0.011982789266014617,0.9664204497813456,1.0,0.9880172107339854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
I_AS_S,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,levofloxacin,414,133,281,131,281,0,2,0.321256038647343,0.9849624060150376,1.0,0.0150375939849624,0.0,0.9924812030075187,0.9889396043009203,1.0,0.9929328621908127,0.9924812030075187,0.9897933238894338,0.004830917874396135,0.9467356013821775,0.9981736611688586,0.9869581073370893,1.0,0.0018263388311413895,0.05326439861782252,0.0,0.013041892662910644,0.9722333948899635,1.0,0.9747056400929864,0.9991429880162443,0.9806201550387597,1.0,0.9718805424130796,1.0,0.9806201550387597,1.0,0.9733762324076165,1.0,0.0,0.012106537530266344
I_AS_S,COHORT,ZENODO_10369064,ZENODO_10369064,clarithromycin,46,20,26,18,24,2,2,0.43478260869565216,0.9,0.9230769230769232,0.1,0.07692307692307693,0.9115384615384616,0.823076923076923,0.9,0.9230769230769231,0.9115384615384616,0.8534782608695652,0.08695652173913043,0.6830172859809177,0.9876514728297052,0.7486970833046261,0.9905446089962873,0.012348527170294808,0.31698271401908235,0.00945539100371274,0.25130291669537386,0.6830172859809177,0.9876514728297052,0.7486970833046261,0.9905446089962873,0.8182795698924731,0.9833333333333334,0.6412498258561146,0.957427107756338,0.8182795698924731,0.9833333333333334,0.6772501906941266,0.9782608695652174,0.021739130434782608,0.17391304347826086
I_AS_S,COHORT,ZENODO_10369064,ZENODO_10369064,levofloxacin,42,16,26,14,24,2,2,0.38095238095238093,0.875,0.9230769230769232,0.125,0.07692307692307693,0.8990384615384616,0.7980769230769231,0.875,0.9230769230769231,0.8990384615384616,0.8132440476190477,0.09523809523809523,0.6165237631507364,0.9844863961845861,0.7486970833046261,0.9905446089962873,0.015513603815413885,0.38347623684926346,0.00945539100371274,0.25130291669537386,0.6165237631507364,0.9844863961845861,0.7486970833046261,0.9905446089962873,0.7847064393939394,0.9821428571428572,0.5731316885385008,0.9528351047490354,0.7847064393939394,0.9821428571428572,0.6054421768707483,0.9649859943977591,0.023809523809523808,0.19047619047619047
I_AS_R,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,6,2,4,2,4,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.3976353643835253,1.0,0.0,0.841886116991581,0.0,0.6023646356164746,0.15811388300841897,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
I_AS_R,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,levofloxacin,57,28,29,12,22,7,16,0.49122807017543857,0.4285714285714285,0.7586206896551724,0.5714285714285714,0.2413793103448276,0.5935960591133005,0.19851666679418606,0.631578947368421,0.5789473684210527,0.5935960591133005,0.5513784461152882,0.40350877192982454,0.24462393630214663,0.628206371387904,0.5645996540114667,0.8970164492273827,0.3717936286120959,0.7553760636978534,0.10298355077261735,0.43540034598853333,0.38357792331440527,0.8371141278449004,0.40821445411990515,0.7369017627485158,0.46777462121212127,0.7100056818181818,-0.06983498736668739,0.4413425704329451,0.46777462121212127,0.7100056818181818,0.39905108944383644,0.7090562343358395,0.2807017543859649,0.543859649122807
I_AS_R,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,clarithromycin,414,108,306,108,306,0,0,0.2608695652173913,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9664204497813456,1.0,0.9880172107339854,1.0,0.0,0.033579550218654476,0.0,0.011982789266014617,0.9664204497813456,1.0,0.9880172107339854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
I_AS_R,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,levofloxacin,414,133,281,131,281,0,2,0.321256038647343,0.9849624060150376,1.0,0.0150375939849624,0.0,0.9924812030075187,0.9889396043009203,1.0,0.9929328621908127,0.9924812030075187,0.9897933238894338,0.004830917874396135,0.9467356013821775,0.9981736611688586,0.9869581073370893,1.0,0.0018263388311413895,0.05326439861782252,0.0,0.013041892662910644,0.9722333948899635,1.0,0.9747056400929864,0.9991429880162443,0.9806201550387597,1.0,0.9718805424130796,1.0,0.9806201550387597,1.0,0.9733762324076165,1.0,0.0,0.012106537530266344
I_AS_R,COHORT,ZENODO_10369064,ZENODO_10369064,clarithromycin,46,22,24,19,23,1,3,0.4782608695652174,0.8636363636363636,0.9583333333333334,0.1363636363636363,0.041666666666666664,0.9109848484848485,0.8282684074492729,0.95,0.8846153846153846,0.9109848484848485,0.8856719367588932,0.08695652173913043,0.6508779027425919,0.9709441488712534,0.7887983165430269,0.9989456475545303,0.02905585112874668,0.34912209725740806,0.0010543524454697472,0.2112016834569731,0.7512672372279722,0.9987349105020502,0.6984595998924322,0.9755419246820378,0.8209523809523809,0.9807692307692308,0.6589982335640197,0.9572688422609587,0.8209523809523809,0.9807692307692308,0.7496843757265752,0.9782608695652174,0.021739130434782608,0.17391304347826086
I_AS_R,COHORT,ZENODO_10369064,ZENODO_10369064,levofloxacin,42,19,23,15,22,1,4,0.4523809523809524,0.7894736842105263,0.9565217391304348,0.2105263157894736,0.043478260869565216,0.8729977116704806,0.7645928215163355,0.9375,0.8461538461538461,0.8729977116704806,0.8353696741854637,0.11904761904761904,0.5443469181084943,0.9394754622907102,0.7805133925465195,0.9988998313695585,0.060524537709289755,0.45565308189150555,0.0011001686304414997,0.2194866074534804,0.697679261565468,0.9984188882772341,0.6513212144646385,0.9564365234610761,0.7567679195804196,0.9642857142857143,0.5545781024517099,0.9468641529479986,0.7567679195804196,0.9642857142857143,0.661610524891775,0.9571428571428572,0.023809523809523808,0.23809523809523808
RECOMPUTED_I_EXCLUDED,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,5,2,3,2,3,0,0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.2924017738212866,1.0,0.0,0.841886116991581,0.0,0.7075982261787133,0.15811388300841897,1.0,0.2924017738212866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
RECOMPUTED_I_EXCLUDED,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,levofloxacin,57,28,29,12,22,7,16,0.49122807017543857,0.4285714285714285,0.7586206896551724,0.5714285714285714,0.2413793103448276,0.5935960591133005,0.19851666679418606,0.631578947368421,0.5789473684210527,0.5935960591133005,0.5513784461152882,0.40350877192982454,0.24462393630214663,0.628206371387904,0.5645996540114667,0.8970164492273827,0.3717936286120959,0.7553760636978534,0.10298355077261735,0.43540034598853333,0.38357792331440527,0.8371141278449004,0.40821445411990515,0.7369017627485158,0.46777462121212127,0.7100056818181818,-0.06983498736668739,0.4413425704329451,0.46777462121212127,0.7100056818181818,0.39905108944383644,0.7090562343358395,0.2807017543859649,0.543859649122807
RECOMPUTED_I_AS_S,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,6,2,4,2,4,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.3976353643835253,1.0,0.0,0.841886116991581,0.0,0.6023646356164746,0.15811388300841897,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
