stratum_type,stratum,dataset_id,antibiotic,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,false_susceptible_rate_ci_low,false_susceptible_rate_ci_high,false_resistant_rate_ci_low,false_resistant_rate_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,mcc_bootstrap_low,mcc_bootstrap_high,auroc_binary_score_bootstrap_low,auroc_binary_score_bootstrap_high,auprc_binary_score_bootstrap_low,auprc_binary_score_bootstrap_high,brier_binary_score_bootstrap_low,brier_binary_score_bootstrap_high
COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,6,2,4,2,4,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.3976353643835253,1.0,0.0,0.841886116991581,0.0,0.6023646356164746,0.15811388300841897,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,levofloxacin,57,28,29,12,22,7,16,0.49122807017543857,0.4285714285714285,0.7586206896551724,0.5714285714285714,0.2413793103448276,0.5935960591133005,0.19851666679418606,0.631578947368421,0.5789473684210527,0.5935960591133005,0.5513784461152882,0.40350877192982454,0.24462393630214663,0.628206371387904,0.5645996540114667,0.8970164492273827,0.3717936286120959,0.7553760636978534,0.10298355077261735,0.43540034598853333,0.38357792331440527,0.8371141278449004,0.40821445411990515,0.7369017627485158,0.46777462121212127,0.7100056818181818,-0.06983498736668739,0.4413425704329451,0.46777462121212127,0.7100056818181818,0.39905108944383644,0.7090562343358395,0.2807017543859649,0.543859649122807
COHORT,HPGP_GLOBAL,HPGP_GLOBAL,clarithromycin,414,108,306,108,306,0,0,0.2608695652173913,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9664204497813456,1.0,0.9880172107339854,1.0,0.0,0.033579550218654476,0.0,0.011982789266014617,0.9664204497813456,1.0,0.9880172107339854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COHORT,HPGP_GLOBAL,HPGP_GLOBAL,levofloxacin,414,133,281,131,281,0,2,0.321256038647343,0.9849624060150376,1.0,0.0150375939849624,0.0,0.9924812030075187,0.9889396043009203,1.0,0.9929328621908127,0.9924812030075187,0.9897933238894338,0.004830917874396135,0.9467356013821775,0.9981736611688586,0.9869581073370893,1.0,0.0018263388311413895,0.05326439861782252,0.0,0.013041892662910644,0.9722333948899635,1.0,0.9747056400929864,0.9991429880162443,0.9806201550387597,1.0,0.9718805424130796,1.0,0.9806201550387597,1.0,0.9733762324076165,1.0,0.0,0.012106537530266344
COHORT,ZENODO_10369064,ZENODO_10369064,clarithromycin,44,20,24,18,23,1,2,0.45454545454545453,0.9,0.9583333333333334,0.1,0.041666666666666664,0.9291666666666667,0.8628390510808928,0.9473684210526315,0.92,0.9291666666666667,0.8980861244019138,0.06818181818181818,0.6830172859809177,0.9876514728297052,0.7887983165430269,0.9989456475545303,0.012348527170294808,0.31698271401908235,0.0010543524454697472,0.2112016834569731,0.7397193458047858,0.9986683711958205,0.7396941578947858,0.9901604099812025,0.8408799533799532,1.0,0.6895152876862637,1.0,0.8408799533799532,1.0,0.7614308768154922,1.0,0.0,0.1590909090909091
COHORT,ZENODO_10369064,ZENODO_10369064,levofloxacin,39,16,23,14,22,1,2,0.41025641025641024,0.875,0.9565217391304348,0.125,0.043478260869565216,0.9157608695652174,0.8407101035796285,0.9333333333333333,0.9166666666666666,0.9157608695652174,0.867948717948718,0.07692307692307693,0.6165237631507364,0.9844863961845861,0.7805133925465195,0.9988998313695585,0.015513603815413885,0.38347623684926346,0.0011001686304414997,0.2194866074534804,0.6805154334216966,0.9983135697586473,0.7300271984423964,0.9897436587187498,0.809776138716356,1.0,0.638306902323129,1.0,0.809776138716356,1.0,0.689375,1.0,0.0,0.1794871794871795
COUNTRY,ALG,MULTI_COHORT,clarithromycin,9,4,5,4,5,0,0,0.4444444444444444,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3976353643835253,1.0,0.4781762498950185,1.0,0.0,0.6023646356164746,0.0,0.5218237501049814,0.3976353643835253,1.0,0.4781762498950185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,ARG,MULTI_COHORT,clarithromycin,10,3,7,3,7,0,0,0.3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2924017738212866,1.0,0.5903836027749966,1.0,0.0,0.7075982261787133,0.0,0.40961639722500337,0.2924017738212866,1.0,0.5903836027749966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,ARG,MULTI_COHORT,levofloxacin,10,2,8,2,8,0,0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.6305833524471807,1.0,0.0,0.841886116991581,0.0,0.3694166475528192,0.15811388300841897,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,BRA,MULTI_COHORT,clarithromycin,12,2,10,2,10,0,0,0.16666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.6915028921812392,1.0,0.0,0.841886116991581,0.0,0.3084971078187607,0.15811388300841897,1.0,0.6915028921812392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
