antibiotic,minimum_resistant_and_susceptible_per_external_cohort,false_susceptible_gate,eligible_external_cohorts,classification
clarithromycin,2,0.05,2,HIGH_FALSE_SUSCEPTIBLE_RISK
clarithromycin,2,0.1,2,PASSES_EXPLORATORY_GRID
clarithromycin,2,0.15,2,PASSES_EXPLORATORY_GRID
clarithromycin,2,0.2,2,PASSES_EXPLORATORY_GRID
clarithromycin,2,0.25,2,PASSES_EXPLORATORY_GRID
clarithromycin,2,0.3,2,PASSES_EXPLORATORY_GRID
clarithromycin,2,0.4,2,PASSES_EXPLORATORY_GRID
clarithromycin,2,0.5,2,PASSES_EXPLORATORY_GRID
clarithromycin,5,0.05,1,INSUFFICIENT_DATA
clarithromycin,5,0.1,1,INSUFFICIENT_DATA
clarithromycin,5,0.15,1,INSUFFICIENT_DATA
clarithromycin,5,0.2,1,INSUFFICIENT_DATA
clarithromycin,5,0.25,1,INSUFFICIENT_DATA
clarithromycin,5,0.3,1,INSUFFICIENT_DATA
clarithromycin,5,0.4,1,INSUFFICIENT_DATA
clarithromycin,5,0.5,1,INSUFFICIENT_DATA
clarithromycin,10,0.05,1,INSUFFICIENT_DATA
clarithromycin,10,0.1,1,INSUFFICIENT_DATA
clarithromycin,10,0.15,1,INSUFFICIENT_DATA
clarithromycin,10,0.2,1,INSUFFICIENT_DATA
clarithromycin,10,0.25,1,INSUFFICIENT_DATA
clarithromycin,10,0.3,1,INSUFFICIENT_DATA
clarithromycin,10,0.4,1,INSUFFICIENT_DATA
clarithromycin,10,0.5,1,INSUFFICIENT_DATA
clarithromycin,15,0.05,1,INSUFFICIENT_DATA
clarithromycin,15,0.1,1,INSUFFICIENT_DATA
clarithromycin,15,0.15,1,INSUFFICIENT_DATA
clarithromycin,15,0.2,1,INSUFFICIENT_DATA
clarithromycin,15,0.25,1,INSUFFICIENT_DATA
clarithromycin,15,0.3,1,INSUFFICIENT_DATA
clarithromycin,15,0.4,1,INSUFFICIENT_DATA
clarithromycin,15,0.5,1,INSUFFICIENT_DATA
clarithromycin,20,0.05,1,INSUFFICIENT_DATA
clarithromycin,20,0.1,1,INSUFFICIENT_DATA
clarithromycin,20,0.15,1,INSUFFICIENT_DATA
clarithromycin,20,0.2,1,INSUFFICIENT_DATA
clarithromycin,20,0.25,1,INSUFFICIENT_DATA
clarithromycin,20,0.3,1,INSUFFICIENT_DATA
clarithromycin,20,0.4,1,INSUFFICIENT_DATA
clarithromycin,20,0.5,1,INSUFFICIENT_DATA
levofloxacin,2,0.05,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,2,0.1,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,2,0.15,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,2,0.2,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,2,0.25,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,2,0.3,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,2,0.4,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,2,0.5,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.05,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.1,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.15,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.2,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.25,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.3,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.4,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,5,0.5,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.05,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.1,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.15,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.2,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.25,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.3,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.4,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,10,0.5,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.05,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.1,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.15,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.2,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.25,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.3,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.4,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,15,0.5,2,HIGH_FALSE_SUSCEPTIBLE_RISK
levofloxacin,20,0.05,1,INSUFFICIENT_DATA
levofloxacin,20,0.1,1,INSUFFICIENT_DATA
levofloxacin,20,0.15,1,INSUFFICIENT_DATA
levofloxacin,20,0.2,1,INSUFFICIENT_DATA
levofloxacin,20,0.25,1,INSUFFICIENT_DATA
levofloxacin,20,0.3,1,INSUFFICIENT_DATA
levofloxacin,20,0.4,1,INSUFFICIENT_DATA
levofloxacin,20,0.5,1,INSUFFICIENT_DATA
