dataset_id,antibiotic,lineage_recomputed,n,phenotype_resistant,marker_resistant,errors,phenotype_resistance_prevalence,marker_resistance_prevalence,error_rate
CHINA_NINGXIA_2022,clarithromycin,SNP_CLUSTER_03,6,2,2,0,0.3333333333333333,0.3333333333333333,0.0
CHINA_NINGXIA_2022,levofloxacin,SNP_CLUSTER_01,4,4,0,4,1.0,0.0,1.0
CHINA_NINGXIA_2022,levofloxacin,SNP_CLUSTER_03,52,23,19,18,0.4423076923076923,0.3653846153846153,0.3461538461538461
CHINA_NINGXIA_2022,levofloxacin,SNP_CLUSTER_04,1,1,0,1,1.0,0.0,1.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_01,122,31,31,0,0.2540983606557377,0.2540983606557377,0.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_02,2,0,0,0,0.0,0.0,0.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_03,60,23,23,0,0.3833333333333333,0.3833333333333333,0.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_04,109,42,42,0,0.3853211009174312,0.3853211009174312,0.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_05,10,2,2,0,0.2,0.2,0.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_06,65,4,4,0,0.0615384615384615,0.0615384615384615,0.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_07,19,1,1,0,0.0526315789473684,0.0526315789473684,0.0
HPGP_GLOBAL,clarithromycin,SNP_CLUSTER_08,27,5,5,0,0.1851851851851851,0.1851851851851851,0.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_01,122,36,36,0,0.2950819672131147,0.2950819672131147,0.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_02,2,2,0,2,1.0,0.0,1.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_03,60,22,22,0,0.3666666666666666,0.3666666666666666,0.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_04,109,28,28,0,0.2568807339449541,0.2568807339449541,0.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_05,10,2,2,0,0.2,0.2,0.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_06,65,22,22,0,0.3384615384615385,0.3384615384615385,0.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_07,19,7,7,0,0.3684210526315789,0.3684210526315789,0.0
HPGP_GLOBAL,levofloxacin,SNP_CLUSTER_08,27,14,14,0,0.5185185185185185,0.5185185185185185,0.0
ZENODO_10369064,clarithromycin,SNP_CLUSTER_01,2,1,1,0,0.5,0.5,0.0
ZENODO_10369064,clarithromycin,SNP_CLUSTER_03,42,19,18,3,0.4523809523809524,0.4285714285714285,0.0714285714285714
ZENODO_10369064,levofloxacin,SNP_CLUSTER_01,2,1,1,0,0.5,0.5,0.0
ZENODO_10369064,levofloxacin,SNP_CLUSTER_03,37,15,14,3,0.4054054054054054,0.3783783783783784,0.081081081081081
