dataset_id,antibiotic,observed_n_resistant,observed_n_susceptible,assumed_prevalence,ppv,npv
CHINA_NINGXIA_2022,clarithromycin,2,4,0.05,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.06,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.07,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.08,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.09,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.1,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.11,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.12,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.13,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.14,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.15,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.16,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.1699999999999999,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.18,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.19,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.2,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.21,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.22,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.2299999999999999,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.24,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.25,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.26,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.27,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.28,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.29,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.3,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.31,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.32,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.33,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.3399999999999999,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.35,1.0,1.0
CHINA_NINGXIA_2022,clarithromycin,2,4,0.36,1.0,1.0
