target_dataset,metric,estimate_type,estimate,ci_low,ci_high,numerator,denominator
CHINA_NINGXIA_2022,sensitivity,target_observed,0.4285714285714285,0.2446239363021466,0.628206371387904,12.0,28.0
CHINA_NINGXIA_2022,sensitivity,HpGP_crude,0.9849624060150376,0.9467356013821776,0.9981736611688586,131.0,133.0
CHINA_NINGXIA_2022,sensitivity,HpGP_standardized_to_target_lineages,1.0,,,,
CHINA_NINGXIA_2022,specificity,target_observed,0.7586206896551724,0.5645996540114667,0.8970164492273827,22.0,29.0
CHINA_NINGXIA_2022,specificity,HpGP_crude,1.0,0.9869581073370892,1.0,281.0,281.0
CHINA_NINGXIA_2022,specificity,HpGP_standardized_to_target_lineages,1.0,,,,
ZENODO_10369064,sensitivity,target_observed,0.875,0.6165237631507365,0.984486396184586,14.0,16.0
ZENODO_10369064,sensitivity,HpGP_crude,0.9849624060150376,0.9467356013821776,0.9981736611688586,131.0,133.0
ZENODO_10369064,sensitivity,HpGP_standardized_to_target_lineages,1.0,,,,
ZENODO_10369064,specificity,target_observed,0.9565217391304348,0.7805133925465195,0.9988998313695584,22.0,23.0
ZENODO_10369064,specificity,HpGP_crude,1.0,0.9869581073370892,1.0,281.0,281.0
ZENODO_10369064,specificity,HpGP_standardized_to_target_lineages,1.0,,,,
