comparison,feature,standardized_log_odds_coefficient
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC1,-1.1248126989505869
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC2,1.6969640275076778
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC3,-0.2227739601843815
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC4,-0.7159462072147214
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC5,0.0367998523408694
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC6,0.3174009959927946
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC7,-0.8247071349880972
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC8,0.1841925246961999
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC9,0.2140962449003119
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC10,-0.0379956150529022
HPGP_GLOBAL_vs_ZENODO_10369064,PC1,-1.0381481955251426
HPGP_GLOBAL_vs_ZENODO_10369064,PC2,1.8224814054775011
HPGP_GLOBAL_vs_ZENODO_10369064,PC3,-0.9466199822757804
HPGP_GLOBAL_vs_ZENODO_10369064,PC4,-0.2221027489250069
HPGP_GLOBAL_vs_ZENODO_10369064,PC5,-0.0616789648615233
HPGP_GLOBAL_vs_ZENODO_10369064,PC6,0.1242179688917204
HPGP_GLOBAL_vs_ZENODO_10369064,PC7,-0.2778137488076813
HPGP_GLOBAL_vs_ZENODO_10369064,PC8,-0.0301945191634816
HPGP_GLOBAL_vs_ZENODO_10369064,PC9,0.2061396412318579
HPGP_GLOBAL_vs_ZENODO_10369064,PC10,0.0004507765030305
