dataset_id,antibiotic,development_percentile_cutoff,threshold_source,original_primary_n,accepted_n,rejected_n,retained_coverage,n,n_resistant,n_susceptible,tp,tn,fp,fn,sensitivity,specificity,false_susceptible_rate,balanced_accuracy,passes_frozen_safety_gate
HPGP_GLOBAL,clarithromycin,0.05,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,20,394,0.04830917874396135,20,8,12,8,12,0,0,1.0,1.0,0.0,1.0,no
HPGP_GLOBAL,clarithromycin,0.1,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,41,373,0.09903381642512077,41,14,27,14,27,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,clarithromycin,0.2,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,82,332,0.19806763285024154,82,33,49,33,49,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,clarithromycin,0.5,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,207,207,0.5,207,71,136,71,136,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,clarithromycin,0.75,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,310,104,0.748792270531401,310,91,219,91,219,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,clarithromycin,0.9,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,372,42,0.8985507246376812,372,102,270,102,270,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,clarithromycin,0.95,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,393,21,0.9492753623188406,393,103,290,103,290,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,clarithromycin,0.99,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,409,5,0.9879227053140096,409,105,304,105,304,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,clarithromycin,1.0,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,414,0,1.0,414,108,306,108,306,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,0.05,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,20,394,0.04830917874396135,20,8,12,8,12,0,0,1.0,1.0,0.0,1.0,no
HPGP_GLOBAL,levofloxacin,0.1,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,41,373,0.09903381642512077,41,16,25,16,25,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,0.2,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,82,332,0.19806763285024154,82,28,54,28,54,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,0.5,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,207,207,0.5,207,62,145,62,145,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,0.75,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,310,104,0.748792270531401,310,90,220,90,220,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,0.9,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,372,42,0.8985507246376812,372,117,255,117,255,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,0.95,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,393,21,0.9492753623188406,393,125,268,125,268,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,0.99,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,409,5,0.9879227053140096,409,130,279,130,279,0,0,1.0,1.0,0.0,1.0,yes
HPGP_GLOBAL,levofloxacin,1.0,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,414,414,0,1.0,414,133,281,131,281,0,2,0.9849624060150376,1.0,0.015037593984962405,0.9924812030075187,yes
CHINA_NINGXIA_2022,clarithromycin,0.05,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,2,4,0.3333333333333333,2,0,2,0,2,0,0,,1.0,,,no
CHINA_NINGXIA_2022,clarithromycin,0.1,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,4,2,0.6666666666666666,4,1,3,1,3,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,clarithromycin,0.2,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,6,0,1.0,6,2,4,2,4,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,clarithromycin,0.5,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,6,0,1.0,6,2,4,2,4,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,clarithromycin,0.75,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,6,0,1.0,6,2,4,2,4,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,clarithromycin,0.9,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,6,0,1.0,6,2,4,2,4,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,clarithromycin,0.95,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,6,0,1.0,6,2,4,2,4,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,clarithromycin,0.99,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,6,0,1.0,6,2,4,2,4,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,clarithromycin,1.0,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,6,6,0,1.0,6,2,4,2,4,0,0,1.0,1.0,0.0,1.0,no
CHINA_NINGXIA_2022,levofloxacin,0.05,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,26,31,0.45614035087719296,26,11,15,4,12,3,7,0.36363636363636365,0.8,0.6363636363636364,0.5818181818181818,no
