comparison,feature,standardized_log_odds_coefficient
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC1,-1.1248126989505867
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC2,1.6969640275076778
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC3,-0.22277396018438153
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC4,-0.7159462072147214
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC5,0.036799852340869424
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC6,0.31740099599279464
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC7,-0.8247071349880972
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC8,0.18419252469619996
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC9,0.21409624490031195
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,PC10,-0.037995615052902235
HPGP_GLOBAL_vs_ZENODO_10369064,PC1,-1.0381481955251426
HPGP_GLOBAL_vs_ZENODO_10369064,PC2,1.8224814054775014
HPGP_GLOBAL_vs_ZENODO_10369064,PC3,-0.9466199822757804
HPGP_GLOBAL_vs_ZENODO_10369064,PC4,-0.22210274892500695
HPGP_GLOBAL_vs_ZENODO_10369064,PC5,-0.061678964861523376
HPGP_GLOBAL_vs_ZENODO_10369064,PC6,0.12421796889172045
HPGP_GLOBAL_vs_ZENODO_10369064,PC7,-0.2778137488076813
HPGP_GLOBAL_vs_ZENODO_10369064,PC8,-0.03019451916348162
HPGP_GLOBAL_vs_ZENODO_10369064,PC9,0.2061396412318579
HPGP_GLOBAL_vs_ZENODO_10369064,PC10,0.0004507765030305286
