dataset_id,lineage_recomputed,metric,successes,total,estimate,ci_low,ci_high
CHINA_NINGXIA_2022,SNP_CLUSTER_01,sensitivity,0,4,0.0,0.0,0.6023646356164746
CHINA_NINGXIA_2022,SNP_CLUSTER_01,specificity,0,0,,,
CHINA_NINGXIA_2022,SNP_CLUSTER_01,false_susceptible_rate,4,4,1.0,0.3976353643835253,1.0
CHINA_NINGXIA_2022,SNP_CLUSTER_01,marker_negative_resistance,4,4,1.0,0.3976353643835253,1.0
CHINA_NINGXIA_2022,SNP_CLUSTER_01,marker_positive_resistance,0,0,,,
CHINA_NINGXIA_2022,SNP_CLUSTER_03,sensitivity,12,23,0.5217391304347826,0.30587800149137395,0.7318038138244465
CHINA_NINGXIA_2022,SNP_CLUSTER_03,specificity,22,29,0.7586206896551724,0.5645996540114667,0.8970164492273827
CHINA_NINGXIA_2022,SNP_CLUSTER_03,false_susceptible_rate,11,23,0.4782608695652174,0.26819618617555346,0.694121998508626
CHINA_NINGXIA_2022,SNP_CLUSTER_03,marker_negative_resistance,11,33,0.3333333333333333,0.1796051349325601,0.5182674724875822
CHINA_NINGXIA_2022,SNP_CLUSTER_03,marker_positive_resistance,12,19,0.631578947368421,0.3835779233144053,0.8371141278449004
CHINA_NINGXIA_2022,SNP_CLUSTER_04,sensitivity,0,1,0.0,0.0,0.975
CHINA_NINGXIA_2022,SNP_CLUSTER_04,specificity,0,0,,,
CHINA_NINGXIA_2022,SNP_CLUSTER_04,false_susceptible_rate,1,1,1.0,0.025,1.0
CHINA_NINGXIA_2022,SNP_CLUSTER_04,marker_negative_resistance,1,1,1.0,0.025,1.0
CHINA_NINGXIA_2022,SNP_CLUSTER_04,marker_positive_resistance,0,0,,,
HPGP_GLOBAL,SNP_CLUSTER_01,sensitivity,36,36,1.0,0.902606244085508,1.0
HPGP_GLOBAL,SNP_CLUSTER_01,specificity,86,86,1.0,0.9580129846958555,1.0
HPGP_GLOBAL,SNP_CLUSTER_01,false_susceptible_rate,0,36,0.0,0.0,0.09739375591449193
HPGP_GLOBAL,SNP_CLUSTER_01,marker_negative_resistance,0,86,0.0,0.0,0.04198701530414447
HPGP_GLOBAL,SNP_CLUSTER_01,marker_positive_resistance,36,36,1.0,0.902606244085508,1.0
HPGP_GLOBAL,SNP_CLUSTER_02,sensitivity,0,2,0.0,0.0,0.841886116991581
HPGP_GLOBAL,SNP_CLUSTER_02,specificity,0,0,,,
