dataset_id,isolate_id,final_qc_status,blast_task,n_hits,n_marker_spanning_hits,max_identity,max_coverage,max_spanning_identity,max_spanning_coverage,nearest_marker_distance_bp,frozen_callable,primary_caller_callable,recovery_class
CHINA_NINGXIA_2022,SHZY01,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY01,PASS,blastn,16,0,1.0,0.012466307277628033,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY02,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY02,PASS,blastn,23,0,1.0,0.012466307277628033,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY03,PASS,megablast,1,1,0.9892400000000001,1.0023584905660377,0.9892400000000001,1.0023584905660377,0,yes,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY03,PASS,blastn,21,1,1.0,1.0023584905660377,0.9892400000000001,1.0023584905660377,0,no,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY04,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY04,PASS,blastn,20,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY05,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY05,PASS,blastn,17,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY06,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY06,PASS,blastn,14,0,1.0,0.012466307277628033,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY07,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY07,PASS,blastn,23,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY08,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY08,PASS,blastn,21,0,1.0,0.013814016172506738,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY09,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY09,PASS,blastn,18,0,1.0,0.014487870619946091,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY10,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY10,PASS,blastn,12,0,1.0,0.014487870619946091,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY11,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY11,PASS,blastn,17,0,1.0,0.021900269541778976,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY12,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY12,PASS,blastn,14,0,1.0,0.014487870619946091,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY13,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY13,PASS,blastn,23,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY14,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY14,PASS,blastn,18,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY15,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY15,PASS,blastn,19,0,1.0,0.014150943396226415,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY16,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY16,PASS,blastn,16,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY17,PASS,megablast,1,1,0.9879000000000001,1.0026954177897573,0.9879000000000001,1.0026954177897573,0,yes,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY17,PASS,blastn,18,1,1.0,1.0026954177897573,0.9879000000000001,1.0026954177897573,0,no,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY18,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY18,PASS,blastn,17,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY19,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY19,PASS,blastn,22,0,1.0,0.014150943396226415,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY20,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY20,PASS,blastn,14,0,1.0,0.012466307277628033,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY21,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY21,PASS,blastn,16,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY22,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY22,PASS,blastn,21,0,1.0,0.013477088948787063,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY23,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY23,PASS,blastn,19,0,1.0,0.014487870619946091,,,82,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY24,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY24,PASS,blastn,20,0,1.0,0.012466307277628033,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY25,FAIL,megablast,1,1,0.98925,1.0026954177897573,0.98925,1.0026954177897573,0,yes,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY25,FAIL,blastn,22,1,1.0,1.0026954177897573,0.98925,1.0026954177897573,0,no,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY26,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY26,PASS,blastn,12,0,1.0,0.014487870619946091,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY27,PASS,megablast,1,1,0.98958,1.0023584905660377,0.98958,1.0023584905660377,0,yes,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY27,PASS,blastn,16,1,1.0,1.0023584905660377,0.98958,1.0023584905660377,0,no,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY28,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY28,PASS,blastn,16,0,1.0,0.014487870619946091,,,24,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY29,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY29,PASS,blastn,18,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY30,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY30,PASS,blastn,16,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY31,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY31,PASS,blastn,15,0,1.0,0.012803234501347708,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY32,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY32,PASS,blastn,17,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY33,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY33,PASS,blastn,23,0,1.0,0.021900269541778976,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY34,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY34,PASS,blastn,18,0,1.0,0.012466307277628033,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY35,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY35,PASS,blastn,17,0,1.0,0.014487870619946091,,,24,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY36,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY36,PASS,blastn,20,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY37,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY37,PASS,blastn,19,0,1.0,0.012466307277628033,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY38,PASS,megablast,2,0,0.98901,0.06132075471698113,,,645,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY38,PASS,blastn,15,0,1.0,0.06132075471698113,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY39,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY39,PASS,blastn,17,0,1.0,0.012466307277628033,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
