dataset_id,isolate_id,blast_task,hit_rank,subject_sequence,query_start,query_end,subject_start,subject_end,identity,coverage,marker_spanning,nearest_marker_distance_bp
CHINA_NINGXIA_2022,SHZY01,blastn,1,JAHXKJ010000002.1,55,82,63555,63582,0.85714,0.009433962264150943,False,2061
CHINA_NINGXIA_2022,SHZY01,blastn,2,JAHXKJ010000002.1,72,93,144427,144406,0.9090900000000001,0.007412398921832884,False,2050
CHINA_NINGXIA_2022,SHZY01,blastn,3,JAHXKJ010000002.1,57,89,158936,158904,0.82857,0.01179245283018868,False,2054
CHINA_NINGXIA_2022,SHZY01,blastn,4,JAHXKJ010000002.1,1514,1532,22039,22057,0.9473699999999999,0.006401617250673854,False,611
CHINA_NINGXIA_2022,SHZY01,blastn,5,JAHXKJ010000002.1,66,99,129158,129123,0.81081,0.012466307277628033,False,2044
CHINA_NINGXIA_2022,SHZY01,blastn,6,JAHXKJ010000002.1,64,89,50461,50486,0.84615,0.00876010781671159,False,2054
CHINA_NINGXIA_2022,SHZY01,blastn,7,JAHXKJ010000002.1,63,83,157586,157606,0.90476,0.007075471698113208,False,2060
CHINA_NINGXIA_2022,SHZY01,blastn,8,JAHXKJ010000001.1,84,103,85757,85738,0.95,0.006738544474393531,False,2040
CHINA_NINGXIA_2022,SHZY01,blastn,9,JAHXKJ010000008.1,70,101,39237,39270,0.82857,0.01179245283018868,False,2042
CHINA_NINGXIA_2022,SHZY01,blastn,10,JAHXKJ010000008.1,2180,2196,62097,62113,1.0,0.0057277628032345014,False,36
CHINA_NINGXIA_2022,SHZY01,blastn,11,JAHXKJ010000003.1,603,624,5896,5917,0.9090900000000001,0.007412398921832884,False,1519
CHINA_NINGXIA_2022,SHZY01,blastn,12,JAHXKJ010000003.1,1736,1764,16436,16408,0.82759,0.00977088948787062,False,379
CHINA_NINGXIA_2022,SHZY01,blastn,13,JAHXKJ010000003.1,543,558,97370,97355,1.0,0.005390835579514825,False,1585
CHINA_NINGXIA_2022,SHZY01,blastn,14,JAHXKJ010000003.1,1006,1021,111722,111707,1.0,0.005390835579514825,False,1122
CHINA_NINGXIA_2022,SHZY01,blastn,15,JAHXKJ010000014.1,2222,2238,16915,16899,1.0,0.0057277628032345014,False,78
CHINA_NINGXIA_2022,SHZY01,blastn,16,JAHXKJ010000009.1,2226,2244,4247,4265,0.9473699999999999,0.006401617250673854,False,82
CHINA_NINGXIA_2022,SHZY02,blastn,1,JAHXKK010000002.1,2634,2652,141748,141766,1.0,0.006401617250673854,False,490
CHINA_NINGXIA_2022,SHZY02,blastn,2,JAHXKK010000002.1,85,103,180929,180947,0.9473699999999999,0.006401617250673854,False,2040
CHINA_NINGXIA_2022,SHZY02,blastn,3,JAHXKK010000002.1,1059,1082,242869,242846,0.875,0.008086253369272238,False,1061
CHINA_NINGXIA_2022,SHZY02,blastn,4,JAHXKK010000002.1,64,84,193067,193047,0.90476,0.007075471698113208,False,2059
CHINA_NINGXIA_2022,SHZY02,blastn,5,JAHXKK010000021.1,55,82,33727,33754,0.85714,0.009433962264150943,False,2061
CHINA_NINGXIA_2022,SHZY02,blastn,6,JAHXKK010000009.1,74,90,16294,16310,1.0,0.0057277628032345014,False,2053
CHINA_NINGXIA_2022,SHZY02,blastn,7,JAHXKK010000009.1,87,105,29098,29116,0.9473699999999999,0.006401617250673854,False,2038
CHINA_NINGXIA_2022,SHZY02,blastn,8,JAHXKK010000006.1,87,103,71176,71192,1.0,0.0057277628032345014,False,2040
CHINA_NINGXIA_2022,SHZY02,blastn,9,JAHXKK010000006.1,592,610,51462,51444,0.9473699999999999,0.006401617250673854,False,1533
CHINA_NINGXIA_2022,SHZY02,blastn,10,JAHXKK010000003.1,2180,2196,68762,68778,1.0,0.0057277628032345014,False,36
CHINA_NINGXIA_2022,SHZY02,blastn,11,JAHXKK010000003.1,80,101,38935,38959,0.88,0.008423180592991913,False,2042
CHINA_NINGXIA_2022,SHZY02,blastn,12,JAHXKK010000014.1,72,93,57948,57927,0.9090900000000001,0.007412398921832884,False,2050
CHINA_NINGXIA_2022,SHZY02,blastn,13,JAHXKK010000014.1,66,99,44184,44149,0.81081,0.012466307277628033,False,2044
CHINA_NINGXIA_2022,SHZY02,blastn,14,JAHXKK010000004.1,1736,1764,16284,16256,0.82759,0.00977088948787062,False,379
CHINA_NINGXIA_2022,SHZY02,blastn,15,JAHXKK010000004.1,543,558,97972,97957,1.0,0.005390835579514825,False,1585
CHINA_NINGXIA_2022,SHZY02,blastn,16,JAHXKK010000004.1,1006,1021,112304,112289,1.0,0.005390835579514825,False,1122
CHINA_NINGXIA_2022,SHZY02,blastn,17,JAHXKK010000019.1,1514,1532,35899,35917,0.9473699999999999,0.006401617250673854,False,611
CHINA_NINGXIA_2022,SHZY02,blastn,18,JAHXKK010000017.1,516,534,41460,41442,0.9473699999999999,0.006401617250673854,False,1609
CHINA_NINGXIA_2022,SHZY02,blastn,19,JAHXKK010000016.1,61,84,55221,55244,0.875,0.008086253369272238,False,2059
CHINA_NINGXIA_2022,SHZY02,blastn,20,JAHXKK010000012.1,177,195,10163,10181,0.9473699999999999,0.006401617250673854,False,1948
CHINA_NINGXIA_2022,SHZY02,blastn,21,JAHXKK010000012.1,2226,2244,17662,17680,0.9473699999999999,0.006401617250673854,False,82
CHINA_NINGXIA_2022,SHZY02,blastn,22,JAHXKK010000011.1,544,562,4931,4913,0.9473699999999999,0.006401617250673854,False,1581
CHINA_NINGXIA_2022,SHZY02,blastn,23,JAHXKK010000015.1,50,70,5285,5265,0.90476,0.007075471698113208,False,2073
CHINA_NINGXIA_2022,SHZY03,megablast,1,JAHXKL010000026.1,1,2968,4742,1769,0.9892400000000001,1.0023584905660377,True,0
CHINA_NINGXIA_2022,SHZY03,blastn,1,JAHXKL010000026.1,1,2968,4742,1769,0.9892400000000001,1.0023584905660377,True,0
CHINA_NINGXIA_2022,SHZY03,blastn,2,JAHXKL010000004.1,603,624,125695,125674,0.9090900000000001,0.007412398921832884,False,1519
CHINA_NINGXIA_2022,SHZY03,blastn,3,JAHXKL010000004.1,1736,1764,115072,115100,0.82759,0.00977088948787062,False,379
CHINA_NINGXIA_2022,SHZY03,blastn,4,JAHXKL010000004.1,1006,1021,18438,18453,1.0,0.005390835579514825,False,1122
CHINA_NINGXIA_2022,SHZY03,blastn,5,JAHXKL010000004.1,543,558,32960,32975,1.0,0.005390835579514825,False,1585
CHINA_NINGXIA_2022,SHZY03,blastn,6,JAHXKL010000023.1,2222,2238,16908,16892,1.0,0.0057277628032345014,False,78
CHINA_NINGXIA_2022,SHZY03,blastn,7,JAHXKL010000020.1,74,90,38126,38110,1.0,0.0057277628032345014,False,2053
CHINA_NINGXIA_2022,SHZY03,blastn,8,JAHXKL010000002.1,72,93,15345,15366,0.9090900000000001,0.007412398921832884,False,2050
CHINA_NINGXIA_2022,SHZY03,blastn,9,JAHXKL010000002.1,66,99,31052,31087,0.8055599999999999,0.012129380053908356,False,2044
CHINA_NINGXIA_2022,SHZY03,blastn,10,JAHXKL010000002.1,68,86,5107,5125,0.9473699999999999,0.006401617250673854,False,2057
CHINA_NINGXIA_2022,SHZY03,blastn,11,JAHXKL010000002.1,63,83,2224,2204,0.90476,0.007075471698113208,False,2060
CHINA_NINGXIA_2022,SHZY03,blastn,12,JAHXKL010000002.1,62,82,97143,97123,0.90476,0.007075471698113208,False,2061
CHINA_NINGXIA_2022,SHZY03,blastn,13,JAHXKL010000017.1,1953,1969,6551,6535,1.0,0.0057277628032345014,False,174
CHINA_NINGXIA_2022,SHZY03,blastn,14,JAHXKL010000008.1,85,103,20654,20672,0.9473699999999999,0.006401617250673854,False,2040
CHINA_NINGXIA_2022,SHZY03,blastn,15,JAHXKL010000008.1,64,84,31198,31178,0.90476,0.007075471698113208,False,2059
CHINA_NINGXIA_2022,SHZY03,blastn,16,JAHXKL010000021.1,728,746,19599,19581,0.9473699999999999,0.006401617250673854,False,1397
CHINA_NINGXIA_2022,SHZY03,blastn,17,JAHXKL010000015.1,2226,2244,4334,4352,0.9473699999999999,0.006401617250673854,False,82
CHINA_NINGXIA_2022,SHZY03,blastn,18,JAHXKL010000012.1,69,99,16457,16428,0.83871,0.010444743935309973,False,2044
CHINA_NINGXIA_2022,SHZY03,blastn,19,JAHXKL010000012.1,516,534,67194,67176,0.9473699999999999,0.006401617250673854,False,1609
CHINA_NINGXIA_2022,SHZY03,blastn,20,JAHXKL010000001.1,87,105,155993,155975,0.9473699999999999,0.006401617250673854,False,2038
CHINA_NINGXIA_2022,SHZY03,blastn,21,JAHXKL010000010.1,1345,1360,25892,25877,1.0,0.005390835579514825,False,783
CHINA_NINGXIA_2022,SHZY04,blastn,1,JAHXKM010000008.1,55,82,62805,62832,0.85714,0.009433962264150943,False,2061
CHINA_NINGXIA_2022,SHZY04,blastn,2,JAHXKM010000002.1,64,105,1974,1935,0.78571,0.014150943396226415,False,2038
CHINA_NINGXIA_2022,SHZY04,blastn,3,JAHXKM010000002.1,51,78,37640,37613,0.85714,0.009433962264150943,False,2065
CHINA_NINGXIA_2022,SHZY04,blastn,4,JAHXKM010000002.1,85,103,90034,90016,0.9473699999999999,0.006401617250673854,False,2040
CHINA_NINGXIA_2022,SHZY04,blastn,5,JAHXKM010000002.1,75,90,159470,159485,1.0,0.005390835579514825,False,2053
CHINA_NINGXIA_2022,SHZY04,blastn,6,JAHXKM010000005.1,57,89,874,906,0.82857,0.01179245283018868,False,2054
CHINA_NINGXIA_2022,SHZY04,blastn,7,JAHXKM010000005.1,72,93,15350,15371,0.9090900000000001,0.007412398921832884,False,2050
CHINA_NINGXIA_2022,SHZY04,blastn,8,JAHXKM010000005.1,68,86,5074,5092,0.9473699999999999,0.006401617250673854,False,2057
CHINA_NINGXIA_2022,SHZY04,blastn,9,JAHXKM010000005.1,66,99,30981,31016,0.81081,0.012466307277628033,False,2044
CHINA_NINGXIA_2022,SHZY04,blastn,10,JAHXKM010000005.1,63,83,2224,2204,0.90476,0.007075471698113208,False,2060
CHINA_NINGXIA_2022,SHZY04,blastn,11,JAHXKM010000014.1,63,104,37286,37326,0.7907,0.014487870619946091,False,2039
CHINA_NINGXIA_2022,SHZY04,blastn,12,JAHXKM010000013.1,2222,2238,16851,16835,1.0,0.0057277628032345014,False,78
CHINA_NINGXIA_2022,SHZY04,blastn,13,JAHXKM010000001.1,2180,2196,170828,170844,1.0,0.0057277628032345014,False,36
CHINA_NINGXIA_2022,SHZY04,blastn,14,JAHXKM010000001.1,80,101,140998,141022,0.88,0.008423180592991913,False,2042
CHINA_NINGXIA_2022,SHZY04,blastn,15,JAHXKM010000001.1,1736,1764,217333,217305,0.82759,0.00977088948787062,False,379
CHINA_NINGXIA_2022,SHZY04,blastn,16,JAHXKM010000001.1,543,558,299477,299462,1.0,0.005390835579514825,False,1585
CHINA_NINGXIA_2022,SHZY04,blastn,17,JAHXKM010000007.1,2226,2244,62070,62052,0.9473699999999999,0.006401617250673854,False,82
CHINA_NINGXIA_2022,SHZY04,blastn,18,JAHXKM010000023.1,61,84,1006,983,0.875,0.008086253369272238,False,2059
CHINA_NINGXIA_2022,SHZY04,blastn,19,JAHXKM010000006.1,71,91,6054,6034,0.90476,0.007075471698113208,False,2052
CHINA_NINGXIA_2022,SHZY04,blastn,20,JAHXKM010000012.1,1345,1360,33815,33830,1.0,0.005390835579514825,False,783
CHINA_NINGXIA_2022,SHZY05,blastn,1,JAHXKN010000003.1,2634,2653,115261,115280,1.0,0.006738544474393531,False,490
CHINA_NINGXIA_2022,SHZY05,blastn,2,JAHXKN010000003.1,85,103,158462,158480,0.9473699999999999,0.006401617250673854,False,2040
CHINA_NINGXIA_2022,SHZY05,blastn,3,JAHXKN010000003.1,1059,1082,253981,253958,0.875,0.008086253369272238,False,1061
CHINA_NINGXIA_2022,SHZY05,blastn,4,JAHXKN010000007.1,55,82,96074,96047,0.85714,0.009433962264150943,False,2061
CHINA_NINGXIA_2022,SHZY05,blastn,5,JAHXKN010000007.1,57,89,898,930,0.82857,0.01179245283018868,False,2054
CHINA_NINGXIA_2022,SHZY05,blastn,6,JAHXKN010000007.1,63,83,2248,2228,0.90476,0.007075471698113208,False,2060
CHINA_NINGXIA_2022,SHZY05,blastn,7,JAHXKN010000018.1,293,312,16131,16150,0.95,0.006738544474393531,False,1831
CHINA_NINGXIA_2022,SHZY05,blastn,8,JAHXKN010000006.1,2222,2238,11960,11976,1.0,0.0057277628032345014,False,78
CHINA_NINGXIA_2022,SHZY05,blastn,9,JAHXKN010000004.1,2180,2196,168900,168916,1.0,0.0057277628032345014,False,36
CHINA_NINGXIA_2022,SHZY05,blastn,10,JAHXKN010000004.1,603,624,204949,204970,0.9090900000000001,0.007412398921832884,False,1519
CHINA_NINGXIA_2022,SHZY05,blastn,11,JAHXKN010000004.1,80,101,145806,145830,0.88,0.008423180592991913,False,2042
CHINA_NINGXIA_2022,SHZY05,blastn,12,JAHXKN010000004.1,1736,1764,215063,215035,0.82759,0.00977088948787062,False,379
CHINA_NINGXIA_2022,SHZY05,blastn,13,JAHXKN010000004.1,447,467,159048,159068,0.90476,0.007075471698113208,False,1676
CHINA_NINGXIA_2022,SHZY05,blastn,14,JAHXKN010000004.1,543,558,297861,297846,1.0,0.005390835579514825,False,1585
CHINA_NINGXIA_2022,SHZY05,blastn,15,JAHXKN010000013.1,63,104,12096,12056,0.7907,0.014487870619946091,False,2039
CHINA_NINGXIA_2022,SHZY05,blastn,16,JAHXKN010000021.1,61,84,6232,6255,0.875,0.008086253369272238,False,2059
CHINA_NINGXIA_2022,SHZY05,blastn,17,JAHXKN010000010.1,2226,2244,64468,64450,0.9473699999999999,0.006401617250673854,False,82
