dataset_id,isolate_id,accession,assembly_path,contigs,assembly_size_bp,n50_bp,longest_contig_bp,gc_percent,ambiguous_bases,size_gate,contig_gate,completeness_percent,contamination_percent,species_confirmation,basic_qc_status
CHINA_NINGXIA_2022,SHZY01,GCA_021063165.1,data/assemblies/CHINA_NINGXIA_2022/SHZY01.fna,21,1551021,115353,413133,38.82791,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY02,GCA_021063185.1,data/assemblies/CHINA_NINGXIA_2022/SHZY02.fna,26,1566333,70570,274193,38.72382,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY03,GCA_021063205.1,data/assemblies/CHINA_NINGXIA_2022/SHZY03.fna,26,1590162,110135,193265,38.69656,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY04,GCA_021063145.1,data/assemblies/CHINA_NINGXIA_2022/SHZY04.fna,27,1529607,69535,332543,38.86364,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY05,GCA_021063065.1,data/assemblies/CHINA_NINGXIA_2022/SHZY05.fna,22,1569993,138260,330555,38.71616,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY06,GCA_021063045.1,data/assemblies/CHINA_NINGXIA_2022/SHZY06.fna,21,1541844,110147,328836,38.85892,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY07,GCA_021063075.1,data/assemblies/CHINA_NINGXIA_2022/SHZY07.fna,41,1639833,83159,236745,38.52642,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY08,GCA_021063105.1,data/assemblies/CHINA_NINGXIA_2022/SHZY08.fna,63,1782925,48857,199520,38.11389,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY09,GCA_021063005.1,data/assemblies/CHINA_NINGXIA_2022/SHZY09.fna,27,1672271,104855,615399,38.436,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY10,GCA_021062955.1,data/assemblies/CHINA_NINGXIA_2022/SHZY10.fna,24,1588355,105934,229445,38.73404,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY11,GCA_021062825.1,data/assemblies/CHINA_NINGXIA_2022/SHZY11.fna,18,1601976,165371,653009,38.69078,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY12,GCA_021062895.1,data/assemblies/CHINA_NINGXIA_2022/SHZY12.fna,30,1585371,158457,277443,38.67385,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY13,GCA_021062925.1,data/assemblies/CHINA_NINGXIA_2022/SHZY13.fna,29,1617686,146825,221361,38.58783,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY14,GCA_021062885.1,data/assemblies/CHINA_NINGXIA_2022/SHZY14.fna,25,1593710,157496,354807,38.71156,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY15,GCA_021062785.1,data/assemblies/CHINA_NINGXIA_2022/SHZY15.fna,40,1616448,57516,641228,38.55936,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY16,GCA_021062665.1,data/assemblies/CHINA_NINGXIA_2022/SHZY16.fna,30,1568539,69230,239249,38.81593,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY17,GCA_021062695.1,data/assemblies/CHINA_NINGXIA_2022/SHZY17.fna,22,1584839,107342,363182,38.7734,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY18,GCA_021062715.1,data/assemblies/CHINA_NINGXIA_2022/SHZY18.fna,56,1593512,45509,168501,38.6838,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY19,GCA_021062735.1,data/assemblies/CHINA_NINGXIA_2022/SHZY19.fna,32,1671996,93349,255604,38.92934,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY20,GCA_021062685.1,data/assemblies/CHINA_NINGXIA_2022/SHZY20.fna,77,1506130,26024,95793,38.26336,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY21,GCA_021062645.1,data/assemblies/CHINA_NINGXIA_2022/SHZY21.fna,35,1554315,81133,193853,38.8236,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY22,GCA_021062625.1,data/assemblies/CHINA_NINGXIA_2022/SHZY22.fna,28,1659604,105999,291820,38.47315,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY23,GCA_021062605.1,data/assemblies/CHINA_NINGXIA_2022/SHZY23.fna,21,1626267,164524,653100,38.62785,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY24,GCA_021062585.1,data/assemblies/CHINA_NINGXIA_2022/SHZY24.fna,37,1670809,72572,333023,38.27631,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
CHINA_NINGXIA_2022,SHZY25,GCA_021062565.1,data/assemblies/CHINA_NINGXIA_2022/SHZY25.fna,24,1695247,106470,371085,38.69,0,PASS,PASS,NOT_COMPUTED,NOT_COMPUTED,NCBI_H_PYLORI_RECORD,PASS
