dataset_id,strain,biosample,assembly_accession,genbank_accession,refseq_accession,wgs_accession,assembly_level,coverage,contig_n50,total_length,ftp_genbank,ftp_refseq
HPGP_GLOBAL,,SAMN19960120,GCA_035156865.2,GCA_035156865.2,,,Complete Genome,942,1642907,1642907,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/156/865/GCA_035156865.2_HpGP-ISR-004,
HPGP_GLOBAL,,SAMN19960121,GCA_035156745.2,GCA_035156745.2,,,Complete Genome,996,1630843,1630843,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/156/745/GCA_035156745.2_HpGP-ISR-005,
HPGP_GLOBAL,,SAMN19960122,GCA_035156625.2,GCA_035156625.2,,,Complete Genome,1491,1625394,1625394,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/156/625/GCA_035156625.2_HpGP-ISR-006,
HPGP_GLOBAL,,SAMN19960127,GCA_035155765.2,GCA_035155765.2,,,Complete Genome,343,1571531,1571531,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/155/765/GCA_035155765.2_HpGP-JAP-101,
HPGP_GLOBAL,,SAMN11317501,GCA_041903795.1,GCA_041903795.1,,,Complete Genome,1262,1590675,1590675,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/903/795/GCA_041903795.1_HpGP-MAL-017,
HPGP_GLOBAL,HpGP-ISR-005,SAMN19960121,GCA_035156745.1,GCA_035156745.1,,,Complete Genome,996,1630843,1630843,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/156/745/GCA_035156745.1_ASM3515674v1,
HPGP_GLOBAL,HpGP-ISR-006,SAMN19960122,GCA_035156625.1,GCA_035156625.1,,,Complete Genome,1491,1625394,1625394,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/156/625/GCA_035156625.1_ASM3515662v1,
HPGP_GLOBAL,HpGP-JAP-101,SAMN19960127,GCA_035155765.1,GCA_035155765.1,,,Complete Genome,343,1571531,1571531,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/155/765/GCA_035155765.1_ASM3515576v1,
HPGP_GLOBAL,HpGP-ISR-004,SAMN19960120,GCA_035156865.1,GCA_035156865.1,,,Complete Genome,942,1642907,1642907,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/156/865/GCA_035156865.1_ASM3515686v1,
HPGP_GLOBAL,HpGP-FRA-001,SAMN12231008,GCA_035186245.1,GCA_035186245.1,,,Complete Genome,562,1744811,1744811,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/186/245/GCA_035186245.1_ASM3518624v1,
HPGP_GLOBAL,HpGP-FRA-002,SAMN12231181,GCA_035185585.1,GCA_035185585.1,,,Complete Genome,563,1650725,1650725,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/585/GCA_035185585.1_ASM3518558v1,
HPGP_GLOBAL,HpGP-FRA-005,SAMN12231246,GCA_035185565.1,GCA_035185565.1,,,Complete Genome,1475,1613824,1613824,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/565/GCA_035185565.1_ASM3518556v1,
HPGP_GLOBAL,HpGP-FRA-006,SAMN12231270,GCA_035185545.1,GCA_035185545.1,,,Complete Genome,887,1575650,1575650,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/545/GCA_035185545.1_ASM3518554v1,
HPGP_GLOBAL,HpGP-FRA-007,SAMN12231316,GCA_035185525.1,GCA_035185525.1,,,Complete Genome,1173,1722160,1722160,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/525/GCA_035185525.1_ASM3518552v1,
HPGP_GLOBAL,HpGP-FRA-008,SAMN12231392,GCA_035185505.1,GCA_035185505.1,,,Complete Genome,835,1576068,1576068,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/505/GCA_035185505.1_ASM3518550v1,
HPGP_GLOBAL,HpGP-FRA-009,SAMN12231431,GCA_035185485.1,GCA_035185485.1,,,Complete Genome,918,1624113,1624113,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/485/GCA_035185485.1_ASM3518548v1,
HPGP_GLOBAL,HpGP-FRA-010,SAMN12231477,GCA_035185465.1,GCA_035185465.1,,,Complete Genome,540,1574338,1574338,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/465/GCA_035185465.1_ASM3518546v1,
HPGP_GLOBAL,HpGP-FRA-011,SAMN12231560,GCA_035185445.1,GCA_035185445.1,,,Complete Genome,1066,1633195,1633195,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/445/GCA_035185445.1_ASM3518544v1,
HPGP_GLOBAL,HpGP-FRA-012,SAMN12231564,GCA_035185425.1,GCA_035185425.1,,,Complete Genome,1336,1642672,1642672,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/425/GCA_035185425.1_ASM3518542v1,
HPGP_GLOBAL,HpGP-FRA-013,SAMN12231599,GCA_035185405.1,GCA_035185405.1,,,Complete Genome,1815,1610323,1610323,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/405/GCA_035185405.1_ASM3518540v1,
HPGP_GLOBAL,HpGP-FRA-014,SAMN12231660,GCA_035185385.1,GCA_035185385.1,,,Complete Genome,837,1655118,1655118,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/385/GCA_035185385.1_ASM3518538v1,
