dataset_id,isolate_id,antibiotic,callable,callable_binary,final_qc_status,contigs,assembly_size_bp,n50_bp,log10_n50_bp,longest_contig_bp,completeness_percent,contamination_percent
CHINA_NINGXIA_2022,SHZY01,clarithromycin,no,0,PASS,21,1551021,115353,5.062028893755278,413133,99.98,0.09
CHINA_NINGXIA_2022,SHZY01,levofloxacin,yes,1,PASS,21,1551021,115353,5.062028893755278,413133,99.98,0.09
CHINA_NINGXIA_2022,SHZY02,clarithromycin,no,0,PASS,26,1566333,70570,4.848620117434134,274193,99.94,0.05
CHINA_NINGXIA_2022,SHZY02,levofloxacin,yes,1,PASS,26,1566333,70570,4.848620117434134,274193,99.94,0.05
CHINA_NINGXIA_2022,SHZY03,clarithromycin,yes,1,PASS,26,1590162,110135,5.041925356132008,193265,99.99,0.01
CHINA_NINGXIA_2022,SHZY03,levofloxacin,yes,1,PASS,26,1590162,110135,5.041925356132008,193265,99.99,0.01
CHINA_NINGXIA_2022,SHZY04,clarithromycin,no,0,PASS,27,1529607,69535,4.8422034589891885,332543,99.95,0.27
CHINA_NINGXIA_2022,SHZY04,levofloxacin,yes,1,PASS,27,1529607,69535,4.8422034589891885,332543,99.95,0.27
CHINA_NINGXIA_2022,SHZY05,clarithromycin,no,0,PASS,22,1569993,138260,5.140696552546414,330555,99.98,0.0
CHINA_NINGXIA_2022,SHZY05,levofloxacin,yes,1,PASS,22,1569993,138260,5.140696552546414,330555,99.98,0.0
CHINA_NINGXIA_2022,SHZY06,clarithromycin,no,0,PASS,21,1541844,110147,5.041972673060201,328836,100.0,0.0
CHINA_NINGXIA_2022,SHZY06,levofloxacin,yes,1,PASS,21,1541844,110147,5.041972673060201,328836,100.0,0.0
CHINA_NINGXIA_2022,SHZY07,clarithromycin,no,0,PASS,41,1639833,83159,4.919909258231664,236745,98.84,0.64
CHINA_NINGXIA_2022,SHZY07,levofloxacin,yes,1,PASS,41,1639833,83159,4.919909258231664,236745,98.84,0.64
CHINA_NINGXIA_2022,SHZY08,clarithromycin,no,0,PASS,63,1782925,48857,4.688926796173115,199520,99.98,2.51
CHINA_NINGXIA_2022,SHZY08,levofloxacin,yes,1,PASS,63,1782925,48857,4.688926796173115,199520,99.98,2.51
CHINA_NINGXIA_2022,SHZY09,clarithromycin,no,0,PASS,27,1672271,104855,5.020589144583294,615399,100.0,1.25
CHINA_NINGXIA_2022,SHZY09,levofloxacin,yes,1,PASS,27,1672271,104855,5.020589144583294,615399,100.0,1.25
CHINA_NINGXIA_2022,SHZY10,clarithromycin,no,0,PASS,24,1588355,105934,5.025035371273884,229445,99.99,0.0
CHINA_NINGXIA_2022,SHZY10,levofloxacin,yes,1,PASS,24,1588355,105934,5.025035371273884,229445,99.99,0.0
CHINA_NINGXIA_2022,SHZY11,clarithromycin,no,0,PASS,18,1601976,165371,5.218459352591252,653009,99.99,0.01
CHINA_NINGXIA_2022,SHZY11,levofloxacin,yes,1,PASS,18,1601976,165371,5.218459352591252,653009,99.99,0.01
CHINA_NINGXIA_2022,SHZY12,clarithromycin,no,0,PASS,30,1585371,158457,5.199911429352911,277443,99.99,0.09
CHINA_NINGXIA_2022,SHZY12,levofloxacin,yes,1,PASS,30,1585371,158457,5.199911429352911,277443,99.99,0.09
CHINA_NINGXIA_2022,SHZY13,clarithromycin,no,0,PASS,29,1617686,146825,5.166800009514994,221361,100.0,0.01
CHINA_NINGXIA_2022,SHZY13,levofloxacin,yes,1,PASS,29,1617686,146825,5.166800009514994,221361,100.0,0.01
CHINA_NINGXIA_2022,SHZY14,clarithromycin,no,0,PASS,25,1593710,157496,5.19726952828443,354807,99.98,0.1
CHINA_NINGXIA_2022,SHZY14,levofloxacin,yes,1,PASS,25,1593710,157496,5.19726952828443,354807,99.98,0.1
CHINA_NINGXIA_2022,SHZY15,clarithromycin,no,0,PASS,40,1616448,57516,4.759788675039412,641228,99.97,0.71
CHINA_NINGXIA_2022,SHZY15,levofloxacin,yes,1,PASS,40,1616448,57516,4.759788675039412,641228,99.97,0.71
CHINA_NINGXIA_2022,SHZY16,clarithromycin,no,0,PASS,30,1568539,69230,4.840294331611436,239249,99.99,0.0
CHINA_NINGXIA_2022,SHZY16,levofloxacin,yes,1,PASS,30,1568539,69230,4.840294331611436,239249,99.99,0.0
CHINA_NINGXIA_2022,SHZY17,clarithromycin,yes,1,PASS,22,1584839,107342,5.030769682816788,363182,99.99,0.3
CHINA_NINGXIA_2022,SHZY17,levofloxacin,yes,1,PASS,22,1584839,107342,5.030769682816788,363182,99.99,0.3
CHINA_NINGXIA_2022,SHZY18,clarithromycin,no,0,PASS,56,1593512,45509,4.658097292565206,168501,99.75,0.01
CHINA_NINGXIA_2022,SHZY18,levofloxacin,yes,1,PASS,56,1593512,45509,4.658097292565206,168501,99.75,0.01
CHINA_NINGXIA_2022,SHZY19,clarithromycin,no,0,PASS,32,1671996,93349,4.970109669935788,255604,99.98,0.14
CHINA_NINGXIA_2022,SHZY19,levofloxacin,yes,1,PASS,32,1671996,93349,4.970109669935788,255604,99.98,0.14
CHINA_NINGXIA_2022,SHZY20,clarithromycin,no,0,PASS,77,1506130,26024,4.4153740502737975,95793,90.98,0.01
CHINA_NINGXIA_2022,SHZY20,levofloxacin,yes,1,PASS,77,1506130,26024,4.4153740502737975,95793,90.98,0.01
CHINA_NINGXIA_2022,SHZY21,clarithromycin,no,0,PASS,35,1554315,81133,4.90919753488772,193853,99.97,0.0
CHINA_NINGXIA_2022,SHZY21,levofloxacin,yes,1,PASS,35,1554315,81133,4.90919753488772,193853,99.97,0.0
CHINA_NINGXIA_2022,SHZY22,clarithromycin,no,0,PASS,28,1659604,105999,5.02530176812769,291820,99.99,0.26
CHINA_NINGXIA_2022,SHZY22,levofloxacin,yes,1,PASS,28,1659604,105999,5.02530176812769,291820,99.99,0.26
CHINA_NINGXIA_2022,SHZY23,clarithromycin,no,0,PASS,21,1626267,164524,5.216229259777144,653100,99.98,0.06
CHINA_NINGXIA_2022,SHZY23,levofloxacin,yes,1,PASS,21,1626267,164524,5.216229259777144,653100,99.98,0.06
CHINA_NINGXIA_2022,SHZY24,clarithromycin,no,0,PASS,37,1670809,72572,4.860769091897789,333023,99.95,0.03
CHINA_NINGXIA_2022,SHZY24,levofloxacin,yes,1,PASS,37,1670809,72572,4.860769091897789,333023,99.95,0.03
CHINA_NINGXIA_2022,SHZY25,clarithromycin,no,0,FAIL,24,1695247,106470,5.027227254067255,371085,99.95,10.09
CHINA_NINGXIA_2022,SHZY25,levofloxacin,no,0,FAIL,24,1695247,106470,5.027227254067255,371085,99.95,10.09
CHINA_NINGXIA_2022,SHZY26,clarithromycin,no,0,PASS,19,1587636,107682,5.032143113195815,549291,100.0,0.0
CHINA_NINGXIA_2022,SHZY26,levofloxacin,yes,1,PASS,19,1587636,107682,5.032143113195815,549291,100.0,0.0
CHINA_NINGXIA_2022,SHZY27,clarithromycin,yes,1,PASS,28,1585070,59689,4.775894302997557,229195,99.99,0.01
CHINA_NINGXIA_2022,SHZY27,levofloxacin,yes,1,PASS,28,1585070,59689,4.775894302997557,229195,99.99,0.01
CHINA_NINGXIA_2022,SHZY28,clarithromycin,no,0,PASS,21,1623431,107470,5.031287248876998,533227,99.98,3.81
CHINA_NINGXIA_2022,SHZY28,levofloxacin,yes,1,PASS,21,1623431,107470,5.031287248876998,533227,99.98,3.81
CHINA_NINGXIA_2022,SHZY29,clarithromycin,no,0,PASS,16,1549400,211325,5.324950877647689,332973,100.0,0.04
CHINA_NINGXIA_2022,SHZY29,levofloxacin,yes,1,PASS,16,1549400,211325,5.324950877647689,332973,100.0,0.04
CHINA_NINGXIA_2022,SHZY30,clarithromycin,no,0,PASS,16,1566046,174274,5.241232599394613,489905,100.0,0.2
CHINA_NINGXIA_2022,SHZY30,levofloxacin,yes,1,PASS,16,1566046,174274,5.241232599394613,489905,100.0,0.2
CHINA_NINGXIA_2022,SHZY31,clarithromycin,no,0,PASS,20,1589338,168670,5.2270378449302255,419998,99.99,0.0
CHINA_NINGXIA_2022,SHZY31,levofloxacin,yes,1,PASS,20,1589338,168670,5.2270378449302255,419998,99.99,0.0
CHINA_NINGXIA_2022,SHZY32,clarithromycin,no,0,PASS,33,1531190,66226,4.821028524782829,168341,99.97,0.19
CHINA_NINGXIA_2022,SHZY32,levofloxacin,yes,1,PASS,33,1531190,66226,4.821028524782829,168341,99.97,0.19
CHINA_NINGXIA_2022,SHZY33,clarithromycin,no,0,PASS,25,1591142,122206,5.087092529171038,240470,99.99,0.2
CHINA_NINGXIA_2022,SHZY33,levofloxacin,yes,1,PASS,25,1591142,122206,5.087092529171038,240470,99.99,0.2
CHINA_NINGXIA_2022,SHZY34,clarithromycin,no,0,PASS,15,1592319,158277,5.199417810005709,378052,99.99,0.0
CHINA_NINGXIA_2022,SHZY34,levofloxacin,yes,1,PASS,15,1592319,158277,5.199417810005709,378052,99.99,0.0
CHINA_NINGXIA_2022,SHZY35,clarithromycin,no,0,PASS,21,1626393,88750,4.948168361727132,275837,99.99,0.0
CHINA_NINGXIA_2022,SHZY35,levofloxacin,yes,1,PASS,21,1626393,88750,4.948168361727132,275837,99.99,0.0
CHINA_NINGXIA_2022,SHZY36,clarithromycin,no,0,PASS,25,1572034,104201,5.017871886836807,311817,99.99,0.01
CHINA_NINGXIA_2022,SHZY36,levofloxacin,yes,1,PASS,25,1572034,104201,5.017871886836807,311817,99.99,0.01
CHINA_NINGXIA_2022,SHZY37,clarithromycin,no,0,PASS,20,1528158,165933,5.2199327651243905,466565,99.99,0.0
CHINA_NINGXIA_2022,SHZY37,levofloxacin,yes,1,PASS,20,1528158,165933,5.2199327651243905,466565,99.99,0.0
CHINA_NINGXIA_2022,SHZY38,clarithromycin,no,0,PASS,43,1697563,65226,4.814420746126459,201594,99.99,0.24
CHINA_NINGXIA_2022,SHZY38,levofloxacin,yes,1,PASS,43,1697563,65226,4.814420746126459,201594,99.99,0.24
CHINA_NINGXIA_2022,SHZY39,clarithromycin,no,0,PASS,31,1588684,83920,4.923865475185502,160145,99.98,0.01
CHINA_NINGXIA_2022,SHZY39,levofloxacin,yes,1,PASS,31,1588684,83920,4.923865475185502,160145,99.98,0.01
CHINA_NINGXIA_2022,SHZY40,clarithromycin,yes,1,PASS,23,1580448,98468,4.9932951169812725,308322,99.98,0.0
CHINA_NINGXIA_2022,SHZY40,levofloxacin,yes,1,PASS,23,1580448,98468,4.9932951169812725,308322,99.98,0.0
CHINA_NINGXIA_2022,SHZY41,clarithromycin,no,0,PASS,36,1614687,87781,4.943400524014174,249973,99.96,0.74
CHINA_NINGXIA_2022,SHZY41,levofloxacin,yes,1,PASS,36,1614687,87781,4.943400524014174,249973,99.96,0.74
CHINA_NINGXIA_2022,SHZY42,clarithromycin,no,0,PASS,27,1573102,93797,4.972188948141525,333220,99.98,0.01
CHINA_NINGXIA_2022,SHZY42,levofloxacin,yes,1,PASS,27,1573102,93797,4.972188948141525,333220,99.98,0.01
CHINA_NINGXIA_2022,SHZY43,clarithromycin,no,0,PASS,19,1579207,109147,5.038011803248539,318143,99.98,0.01
CHINA_NINGXIA_2022,SHZY43,levofloxacin,yes,1,PASS,19,1579207,109147,5.038011803248539,318143,99.98,0.01
CHINA_NINGXIA_2022,SHZY44,clarithromycin,no,0,PASS,20,1541999,181875,5.259773006329983,352473,99.97,0.01
CHINA_NINGXIA_2022,SHZY44,levofloxacin,yes,1,PASS,20,1541999,181875,5.259773006329983,352473,99.97,0.01
CHINA_NINGXIA_2022,SHZY45,clarithromycin,no,0,PASS,20,1639179,105784,5.024419984928034,213348,100.0,3.45
CHINA_NINGXIA_2022,SHZY45,levofloxacin,yes,1,PASS,20,1639179,105784,5.024419984928034,213348,100.0,3.45
CHINA_NINGXIA_2022,SHZY46,clarithromycin,no,0,PASS,17,1613577,161898,5.209241483748254,360199,99.99,0.11
CHINA_NINGXIA_2022,SHZY46,levofloxacin,yes,1,PASS,17,1613577,161898,5.209241483748254,360199,99.99,0.11
CHINA_NINGXIA_2022,SHZY47,clarithromycin,no,0,PASS,22,1580613,123422,5.091392579689178,358766,99.98,0.0
CHINA_NINGXIA_2022,SHZY47,levofloxacin,yes,1,PASS,22,1580613,123422,5.091392579689178,358766,99.98,0.0
CHINA_NINGXIA_2022,SHZY48,clarithromycin,yes,1,PASS,22,1638097,111929,5.048942623688823,560012,99.99,0.14
CHINA_NINGXIA_2022,SHZY48,levofloxacin,yes,1,PASS,22,1638097,111929,5.048942623688823,560012,99.99,0.14
